"metadata_ESTCID","Freq","TotalLength"
"T118225","5","27081"
"N020874","34","42636"
"T061385","4","363239"
"T138709","187","1411984"
"T055932","10","61252"
"T064267","12","90722"
"T092283","14","43885"
"N006494","6","30908"
"T011210","18","179190"
"T146573","7","172242"
"T060974","3","94419"
"T090432","12","1048604"
"W002471","7","125346"
"T131309","61","73546"
"P002572","20","262827"
"T134254","3","29876"
"T089429","101","48023"
"P006021","4","117680"
"T094622","6","144162"
"T082749","3","18615"
"T150137","25","123654"
"N007443","5","11687"
"T026194","4","46287"
"T147006","6","120655"
"N016511","16","63486"
"T131953","4","95641"
"T110923","31","466823"
"T099478","14","118613"
"T147543","24","66086"
"T096464","10","74633"
"T060056","20","27025"
"T147538","4","16480"
"N022624","3","7364"
"T120701","3","100150"
"T131962","3","94289"
"T091561","37","67130"
"N031731","5","42731"
"T133190","9","66477"
"T072770","16","88907"
"T096063","7","120320"
"N024881","34","118245"
"N006493","5","31211"
"T179882","7","23177"
"N020403","11","16467"
"T109963","6","20476"
"T013779","6","17677"
"T138240","10","94281"
"T108496","4","5432"
"T149856","15","30333"
"T087865","6","7337"
"T107662","178","87313"
"P002719","39","262257"
"T136238","44","1377131"
"T005834","7","20101"
"N069122","12","266949"
"T131807","84","42798"
"T213496","36","266082"
"T160848","99","681740"
"T046583","51","65856"
"N015587","10","16467"
"N063290","41","128155"
"T029798","26","65857"
"N019415","115","490905"
"T109984","10","16444"
"T146092","28","72965"
"T164247","15","67020"
"T102433","25","16467"
"T143983","7","16428"
"W026110","12","143854"
"N033822","3","4136"
"T108452","21","44908"
"T119887","17","66066"
"T011226","16","26984"
"T134850","10","67477"
"T093953","70","104805"
"T125037","5","16818"
"T110300","27","73094"
"T109819","39","68755"
"T098546","46","122353"
"T100537","24","29979"
"T074071","38","68828"
"T128715","17","29707"
"T122410","16","65820"
"T103929","12","29423"
"T002620","6","3366"
"T083498","7","30990"
"T174064","7","86211"
"T146566","20","88644"
"T137131","11","76118"
"N037345","43","138203"
"T139449","5","23800"
"W021976","5","30395"
"N039638","58","66730"
"N005403","8","42920"
