"metadata_ESTCID","Freq","TotalLength"
"T138709","167","1411984"
"T124105","34","118464"
"T192782","3","16651"
"N019166","5","87816"
"T091561","30","67130"
"T093449","19","22382"
"T005959","132","123846"
"T139449","176","168073"
"W027642","49","46275"
"T131033","10","82554"
"T213495","28","267221"
"T170063","13","36488"
"W015751","39","86729"
"N016687","25","48259"
"T097727","3","7783"
"T101314","19","43680"
"T117698","36","91038"
"T011311","5","4112"
"T061073","94","43551"
"T037971","9","16448"
"T092832","11","30970"
"T117698","6","119405"
"T095263","15","194869"
"T128831","19","179039"
"T182444","10","21888"
"T058864","6","21849"
"T091680","61","129985"
"T001075","7","24392"
"T144725","60","139213"
"T081116","5","27131"
"T168434","12","21463"
"T004840","60","65971"
"T143342","3","10550"
"T146580","5","43887"
"T036100","14","7309"
"T141134","19","86593"
"T074628","26","52576"
"T116363","8","74251"
"N016941","41","285051"
"W028803","3","2817"
"T123221","31","87170"
"N013085","5","31693"
"W029685","142","342569"
"T110402","64","95678"
"N012562","19","65944"
"T134255","7","39653"
"T072193","37","88981"
"T076534","26","83748"
"T147415","40","175131"
"T060748","198","183097"
"N000248","3","6799"
"T130837","35","66176"
"T121929","52","92648"
"N002373","27","42353"
"T044628","15","36492"
"T109210","60","96243"
"T139449","14","76138"
"N005163","46","16440"
"T037959","12","16452"
"N011177","40","122729"
"T121114","18","21590"
"T181891","9","16488"
"T093938","38","95702"
"N051934","18","267928"
"T143714","11","43858"
"N041793","265","1049165"
"T109517","10","23706"
"T101297","40","67725"
"T121797","26","87678"
"T148888","89","135795"
"T126839","9","12306"
"T096126","66","281253"
"T071057","11","16412"
"T107029","54","71375"
"T037967","9","16464"
"T136232","84","1398971"
"T091097","12","67422"
"T096126","45","282910"
"P002032","7","57159"
"T140606","156","131578"
"T127792","156","262371"
"T200934","37","277372"
"N022590","21","71826"
"T049813","11","43055"
"N002688","3","10506"
"T076276","16","118742"
"T030440","9","42667"
"T154541","55","200272"
"N018953","31","42353"
"T111586","31","117442"
"N009956","28","43340"
"T110180","33","42372"
"T131363","30","22141"
"P000142","44","171929"
"T109702","12","9997"
"T081897","7","10492"
"N003799","23","17151"
"T117619","43","71375"
"T147520","171","168004"
"T103216","11","17837"
"T145987","76","127580"
"T094245","37","279118"
"T055302","18","116655"
"T132842","39","694653"
"T140800","11","22551"
"T135893","142","692341"
"T100351","51","66146"
"T134033","42","269800"
"T114125","42","72251"
"T078959","13","102511"
"N015718","35","86414"
"T115225","34","140706"
"N004847","138","123846"
"N049685","15","70701"
"N031831","12","69481"
"T134585","18","671360"
"T208156","42","59830"
"T081894","15","21609"
"T145739","81","116621"
"T140441","52","103362"
"T096136","15","10614"
"T047309","9","16710"
"N004960","32","178890"
"T109063","19","66585"
"T130836","31","66306"
"N024434","12","5389"
"W014089","155","466250"
"T101297","24","72250"
"T101303","71","204219"
"T181681","10","16448"
"T155772","17","66964"
"T100120","18","97130"
"N000797","13","183703"
"T136238","73","1398878"
"T037960","8","16444"
"N026776","19","117185"
"T101752","26","94801"
"T109936","69","96221"
"T126970","3","10513"
"T046033","8","12389"
"T021075","36","19087"
"N037570","16","95134"
"N009358","28","21628"
"T096126","104","275360"
"T107463","13","42088"
"T129181","38","176735"
"P003137","67","118881"
"T100126","14","95134"
"T044627","14","36438"
"T043244","9","23623"
"T202153","8","11637"
"T100164","15","89790"
"T109392","53","93036"
"T147414","41","274796"
"T002758","10","16464"
"N026546","12","20524"
"T135014","39","92819"
"T135437","28","94186"
"T088108","110","466151"
"T144788","4","66483"
"T039853","36","473704"
"T137637","16","91034"
"T106335","455","328127"
"T110422","34","77432"
"T094245","12","274883"
"T078968","6","102080"
"T002892","5","86057"
"T068979","38","197278"
"T068986","20","381183"
"T137332","64","517792"
"T094801","35","117652"
"T114301","217","183587"
"T106339","57","263492"
"T070387","13","117205"
"N020839","33","71434"
"T115625","5","119925"
"T078964","5","102314"
"T136233","107","1398971"
"T140745","29","85101"
"T195052","48","262904"
"T137825","23","66259"
"T134585","21","671360"
"T052756","24","87690"
"T063904","20","156221"
"T123803","11","66878"
"T127928","18","42725"
"T051600","14","88059"
"T079287","55","361065"
"T138428","42","168141"
"T036451","16","44875"
"T068980","29","297314"
"T080590","22","43036"
"T094803","20","85813"
"T089355","10","20064"
"T033489","51","87447"
"T127414","15","29219"
"T135027","30","122332"
"N011176","27","123891"
"T053952","16","84744"
"T009989","42","68134"
"T069013","23","285198"
"T036451","27","88191"
"T145481","9","52388"
"N033055","20","148556"
"T068988","36","489227"
"T084194","53","86785"
"T065953","29","118004"
"T138836","69","711882"
"T099953","26","118306"
"T093902","139","104866"
"T144147","32","172708"
"T088310","55","117726"
"T133368","8","88140"
"T140174","33","67193"
"T139810","139","177868"
"T068982","45","344803"
"T081841","45","285380"
"T138155","78","512971"
"N014693","55","97937"
"T142008","18","122444"
"W020459","20","44836"
"T093902","78","67674"
"T065482","6","168928"
"T082618","25","65640"
"T149699","32","283964"
"T122632","21","119298"
"T082617","57","91120"
"T094798","24","94900"
"T087041","238","700392"
"T053950","14","65823"
"T082620","51","92367"
"T039854","23","83167"
"T078966","6","102320"
"T111548","4","67399"
"T084587","16","29308"
"T108199","58","126179"
"T078969","21","148469"
"T068989","34","517822"
"T110982","4","72252"
"T121714","46","159445"
"W029401","11","16647"
"T078965","5","102135"
"W031873","81","671354"
"T088308","20","82222"
"T143003","65","344028"
"T087500","28","676058"
"T212950","46","675496"
"T143096","74","1048876"
"N030424","4","10810"
"T143096","68","1056153"
"T135707","126","1398924"
"T052746","22","67018"
"N026913","21","65607"
"P006583","17","121090"
"T053579","35","470595"
"T121561","13","67333"
"N013955","16","88026"
"T135707","81","1377131"
"T052743","23","120758"
"T137893","21","88252"
"N014471","4","45581"
"T142858","28","264641"
"T036451","23","103261"
"T146458","26","85749"
"T089813","16","80678"
"T118843","20","87121"
"T130614","20","76546"
"T113200","19","67513"
"T225836","39","265863"
"T086683","29","66911"
"T195871","32","676610"
"T087506","21","676039"
"N031139","21","151420"
"T052750","21","88078"
"N029087","23","673877"
"T090671","87","1114204"
"T090673","50","1114235"
"T113972","14","344360"
"T052742","17","96514"
"T114405","17","499036"
"N013485","15","65934"
"T141549","17","675532"
"T141550","28","676644"
"N024240","9","43787"
"N004797","7","42665"
"T087509","22","675496"
"T169447","3","35207"
"T123540","5","174339"
"N005096","49","699682"
"T065952","17","87853"
"N020640","25","94886"
"T094802","24","85823"
"T068987","24","393951"
"T103821","147","681935"
"T112946","21","1049435"
"T139263","103","1059235"
"T049815","33","117274"
"W031209","35","268772"
"W028935","21","69630"
"T144787","3","72459"
"T087501","27","676003"
"N031194","24","87706"
"T147710","13","119260"
"T075690","42","67743"
"T121780","40","171362"
"T113723","6","262285"
"T119508","12","65975"
"T167193","19","678628"
"N007600","13","466553"
"N031193","22","123386"
"T222992","7","33596"
"T134585","31","687742"
"T089843","21","120767"
"W031873","28","671434"
"T145358","33","674881"
"T131969","38","43573"
"T134585","19","672462"
"T131969","21","67694"
"T088308","225","360747"
"T139583","15","35129"
"T137634","4","16552"
"T052746","25","89882"
"T053579","37","466508"
"T133138","22","277323"
"T044227","14","26596"
"P006382","24","263680"
"T052807","18","66869"
"T097705","5","17406"
"T137768","15","37292"
"T052745","303","359140"
"T085492","13","30437"
"T128164","12","42625"
"N006634","78","67129"
"T113839","108","487887"
"T142007","24","122707"
"T057759","82","141161"
"N012125","8","93092"
"T095789","29","177306"
"N001439","14","93397"
"T090336","88","346817"
"T097355","1301","1091463"
"N020986","227","168014"
"T142997","30","93907"
"T057767","85","210075"
