"metadata_ESTCID","Freq","TotalLength"
"T026767","46","66621"
"T118225","5","27081"
"T045802","8","29745"
"T009541","4","67039"
"T138709","172","1411984"
"T196383","6","117932"
"T055932","11","61252"
"T064267","12","90722"
"T092283","12","43885"
"N006494","6","30908"
"T011210","14","179190"
"T138158","21","466153"
"T057830","4","10556"
"T090432","12","1048604"
"T138157","27","473482"
"W002471","9","125346"
"T192782","4","16651"
"T131309","58","73546"
"T098739","17","329032"
"T112598","8","18981"
"P002572","20","262827"
"T089429","153","48023"
"T098051","8","68849"
"T094622","5","144162"
"T028055","6","7997"
"T150137","26","123654"
"N066478","4","42112"
"T027820","4","45413"
"T026766","37","66685"
"T147006","3","120655"
"T109176","30","170726"
"T089484","5","66196"
"P006675","5","68324"
"T099478","19","118613"
"T147543","22","66086"
"T141449","7","30353"
"T131281","7","87626"
"T131962","3","94289"
"T091561","39","67130"
"N005316","4","4179"
"N031731","5","42731"
"T096063","8","120320"
"T063476","3","18488"
"T147252","7","109648"
"N024881","34","118245"
"T126673","10","57262"
"N006493","5","31211"
"T137535","15","10575"
"T050908","26","43869"
"T173044","5","30175"
"T149856","13","30333"
"T107662","144","87313"
"P002719","45","262257"
"T136238","46","1377131"
"T005834","7","20101"
"N069122","10","266949"
"T050895","13","21443"
"T131807","78","42798"
"T213496","38","266082"
"N019618","4","4124"
"T046583","52","65856"
"T029798","30","65857"
"N019415","113","490905"
"T109984","10","16444"
"T146092","25","72965"
"T164247","15","67020"
"T102433","24","16467"
"T143983","7","16428"
"N010479","8","10727"
"W026110","14","143854"
"T130902","21","132545"
"T056947","29","69509"
"T108452","21","44908"
"T119887","14","66066"
"T134850","9","67477"
"T093953","71","104805"
"T125037","5","16818"
"T117048","9","69846"
"T109819","21","68755"
"T098546","29","122353"
"T122410","16","65820"
"T110247","5","10556"
"T174064","14","86211"
"T146566","22","88644"
"T137131","13","76118"
"N037345","34","138203"
"W021976","7","30395"
"N039638","54","66730"
"N005403","16","42920"
"W031889","183","87131"
"T136233","72","1377050"
"T005959","135","123846"
"T146035","20","67841"
"T111260","8","29622"
"T139449","191","168073"
"T083504","9","29890"
"W018694","8","7345"
"T091602","23","42998"
"T046581","35","65905"
"T038577","11","42941"
"T049650","12","21449"
"T048835","9","4228"
"T120329","10","17979"
"T002777","13","9107"
"T136426","87","503166"
"T122066","22","86867"
"T046610","11","23007"
"N002825","9","73495"
"T092208","5","11757"
"T092836","12","86761"
"T149856","18","43381"
"T121496","5","5387"
"T046584","54","65856"
"T136425","143","485149"
"T166652","66","466125"
"T175010","11","10525"
"T145739","66","167855"
"P005964","75","118881"
"N027516","6","26915"
"T149178","5","42464"
"T177414","18","90330"
"T065753","14","26311"
"W020522","30","127665"
"T155206","13","174335"
"W019245","13","21491"
"T107835","5","7281"
"W031190","39","169796"
"T144784","38","65773"
"T118221","4","17156"
"T116855","10","11462"
"T217786","3","4382"
"P000142","72","266352"
"N004370","12","49468"
"T085261","202","1073417"
"N020334","18","11054"
"T213495","36","267221"
