"metadata_ESTCID","Freq","TotalLength"
"T026767","40","66621"
"T090432","20","1095015"
"T138709","182","1411984"
"T055932","8","61252"
"N006494","6","30908"
"T011210","13","179190"
"T060974","8","94419"
"T138158","29","466153"
"T090432","13","1048604"
"T138157","38","473482"
"T065123","9","4523"
"W002471","15","125346"
"T195356","3","5490"
"T098739","18","329032"
"T112598","11","18981"
"N002424","8","43258"
"T091308","9","23922"
"T089429","95","48023"
"P006021","4","117680"
"T098051","8","68849"
"T094622","7","144162"
"T150137","21","123654"
"T096464","7","68832"
"N007443","7","11687"
"T000911","20","21034"
"T053256","3","45019"
"T026194","6","46287"
"T026766","33","66685"
"T109176","26","170726"
"T131953","9","95641"
"T105088","3","70893"
"P006675","4","68324"
"T111674","3","12982"
"T096464","25","74633"
"T141449","8","30353"
"T131962","8","94289"
"T091561","30","67130"
"T143424","6","39739"
"N031731","7","42731"
"T133190","9","66477"
"T096063","10","120320"
"T147252","9","109648"
"N024881","28","118245"
"N012773","7","100176"
"T093449","21","22382"
"T077751","3","16481"
"N006493","5","31211"
"T050908","24","43869"
"N020403","9","16467"
"T109963","7","20476"
"T173044","6","30175"
"T138240","11","94281"
"T149856","14","30333"
"P002719","41","262257"
"T136238","72","1377131"
"N010903","12","17876"
"N069122","9","266949"
"T050895","17","21443"
"T013552","10","16474"
"T171051","6","3674"
"T213496","36","266082"
"N019618","4","4124"
"T046583","52","65856"
"T102789","6","21739"
"T029798","26","65857"
"N019415","112","490905"
"T146092","24","72965"
"T127630","13","16520"
"T102433","35","16467"
"T143983","7","16428"
"N010479","10","10727"
"W026110","14","143854"
"T044846","4","10898"
"N033822","5","4136"
"T108452","55","44908"
"T097747","294","193568"
"T119887","12","66066"
"T145812","7","15978"
"T011226","16","26984"
"T134850","12","67477"
"T117348","5","5439"
"T093953","95","104805"
"N016642","4","5455"
"T066336","5","10517"
"T110300","52","73094"
"T117048","11","69846"
"T109819","24","68755"
"T119670","7","42345"
"T098546","24","122353"
"T100537","32","29979"
"T074071","39","68828"
"T122410","20","65820"
"T103929","8","29423"
"T136311","11","16546"
"T035010","4","16683"
"T083498","7","30990"
"T146566","20","88644"
"T137131","14","76118"
"N037345","41","138203"
"T139449","5","23800"
"N039638","56","66730"
"N005403","8","42920"
"W031889","244","87131"
"T122607","22","33251"
"T136233","94","1377050"
"T005959","156","123846"
"T146035","19","67841"
"T139449","190","168073"
"T083504","9","29890"
"T108909","4","10535"
"T000870","15","10648"
"T178641","10","31899"
"W018694","8","7345"
"N012507","13","49954"
"W027642","49","46275"
"T145823","5","16497"
"T013715","12","16722"
"T004789","12","10825"
"T046581","33","65905"
"N018727","20","23777"
"T038577","12","42941"
"N011153","5","21522"
"T050874","42","16822"
"T013716","6","16706"
"T048835","5","4228"
"T003979","11","11856"
"T110794","45","66419"
"N068917","11","42565"
"T002777","20","9107"
"T108809","8","7329"
"T136426","90","503166"
"T122066","18","86867"
"T119670","11","42007"
"N023280","8","7611"
"T084899","12","29493"
"N002825","17","73495"
"T215073","7","120807"
