"metadata_ESTCID","Freq","TotalLength"
"N020874","36","42636"
"T138709","166","1411984"
"T011210","14","179190"
"T138158","20","466153"
"T138157","27","473482"
"T092325","18","10632"
"T112598","7","18981"
"P002572","18","262827"
"T091308","12","23922"
"T053583","4","12735"
"P006021","4","117680"
"T098051","8","68849"
"T028055","5","7997"
"T150137","20","123654"
"T096464","5","68832"
"T000911","23","21034"
"T053256","3","45019"
"T147006","3","120655"
"N016511","15","63486"
"N011120","4","123544"
"T126618","4","21154"
"T110923","24","466823"
"T096464","35","74633"
"T133190","9","66477"
"T072770","16","88907"
"N024881","27","118245"
"T137535","15","10575"
"T050908","23","43869"
"N020403","8","16467"
"T173044","5","30175"
"T138240","14","94281"
"T108496","4","5432"
"T107662","149","87313"
"P002719","37","262257"
"T136238","43","1377131"
"N010903","12","17876"
"N069122","11","266949"
"T050895","13","21443"
"T061708","42","43087"
"T171051","6","3674"
"T152908","37","169173"
"T213496","37","266082"
"T160848","107","681740"
"T046583","43","65856"
"N021045","3","5599"
"T041841","10","10557"
"N015587","11","16467"
"N063290","41","128155"
"N019415","115","490905"
"T109984","10","16444"
"T146092","23","72965"
"T084806","7","5389"
"T108412","4","10689"
"T057654","3","2641"
"T102433","24","16467"
"T130902","17","132545"
"T108452","31","44908"
"T097747","299","193568"
"T119887","12","66066"
"T093953","65","104805"
"T041681","12","66074"
"T110300","24","73094"
"T145739","61","167885"
"T109819","20","68755"
"T055007","6","84043"
"T100537","27","29979"
"T074071","38","68828"
"T122410","13","65820"
"T002620","7","3366"
"T146566","20","88644"
"T137131","11","76118"
"T139478","1253","413407"
"N039638","56","66730"
"W031889","169","87131"
"T122607","21","33251"
"T136233","70","1377050"
"T144101","32","67257"
"T146035","16","67841"
"T111260","8","29622"
"T083504","9","29890"
"N012507","11","49954"
"W027642","57","46275"
"T091602","25","42998"
"T046581","27","65905"
"N011153","5","21522"
"T050874","19","16822"
"T088895","6","43877"
"T003979","12","11856"
"N010056","7","10559"
"T110794","36","66419"
"T136426","92","503166"
"T002668","15","31969"
"T040295","11","9200"
"T046610","13","23007"
"T084899","7","29493"
"N012788","4","4179"
"T215073","7","120807"
"T108411","7","21575"
"T092208","5","11757"
"T092836","10","86761"
"N005752","13","10596"
"T165877","158","1118561"
"T046584","45","65856"
"T136425","150","485149"
"T166652","61","466125"
"T021267","6","10549"
"T100493","3","10584"
"P005964","67","118881"
"N027516","7","26915"
"T092645","22","65664"
"T059021","16","45165"
"T128169","17","92938"
"W004816","33","65688"
"T065753","15","26311"
"T094004","4","5453"
"T079406","34","168906"
"T155206","15","174335"
"W019245","14","21491"
"T144784","43","65773"
"N016990","3","5389"
"T001974","4","10549"
"N034908","56","483414"
"T138228","16","23328"
"P000142","73","266352"
"T085261","206","1073417"
"N021173","4","2661"
"T213495","33","267221"
"T109935","50","67046"
"T032192","23","51121"
"T113893","80","176188"
"N005092","76","280483"
"T086692","31","21785"
"T046576","43","65856"
"T145055","9","119202"
"T084144","150","494248"
"T068547","21","72053"
"N024722","3","4136"
"W020315","23","35313"
"N068871","57","332108"
"T112802","56","262227"
"T132727","5","21626"
"T097162","19","5656"
"T041878","3","14627"
"T073187","7","17478"
"T133102","8","66540"
"T118926","11","42069"
"T178956","4","26989"
"T088728","12","14859"
"T146636","8","16902"
"T170063","16","36488"
"N005827","5","14665"
"W029683","35","116735"
"T117698","20","125642"
"T146350","10","177449"
"N046835","12","21602"
"T099360","7","56129"
"N034412","115","281496"
"T094278","185","117455"
"T028973","9","17104"
"T155207","48","168548"
"T071961","23","71903"
"T091037","9","29473"
"N036060","4","41943"
