"metadata_ESTCID","Freq","TotalLength"
"T009541","4","67039"
"T138709","175","1411984"
"T055932","8","61252"
"T092283","13","43885"
"T124105","34","118464"
"N009889","6","42283"
"T011210","13","179190"
"N004673","6","69032"
"T138158","20","466153"
"T090432","12","1048604"
"T060478","15","16468"
"W002471","5","125346"
"N027802","24","42475"
"T098739","20","329032"
"T112598","7","18981"
"N002424","9","43258"
"P002572","21","262827"
"T089429","94","48023"
"P006021","5","117680"
"T098051","10","68849"
"T094622","5","144162"
"T150137","20","123654"
"T096464","4","68832"
"T090621","4","68592"
"T000911","19","21034"
"T053256","3","45019"
"T134261","4","42466"
"N005427","4","87953"
"T147006","6","120655"
"T089484","9","66196"
"T105088","4","70893"
"T110923","25","466823"
"T099478","14","118613"
"T147543","29","66086"
"T096464","8","74633"
"T091561","34","67130"
"T143424","4","39739"
"T133190","9","66477"
"T072770","15","88907"
"N012773","7","100176"
"N012152","15","47991"
"T137535","15","10575"
"T050908","26","43869"
"N020403","8","16467"
"T173044","5","30175"
"T138240","10","94281"
"T132334","7","10598"
"T107662","147","87313"
"P002719","41","262257"
"T136238","45","1377131"
"N010903","17","17876"
"N069122","9","266949"
"T050895","15","21443"
"T061708","43","43087"
"T171051","8","3674"
"T213496","35","266082"
"T160848","100","681740"
"T046583","50","65856"
"T107175","11","10887"
"T044603","4","16468"
"T041841","9","10557"
"N015587","10","16467"
"T102789","4","21739"
"T029798","27","65857"
"N019415","112","490905"
"T146092","23","72965"
"T127630","9","16520"
"T102433","27","16467"
"T108719","7","8261"
"T056947","29","69509"
"T208292","9","4330"
"T108452","23","44908"
"T097747","290","193568"
"T011226","20","26984"
"T093953","65","104805"
"N016642","5","5455"
"T125037","5","16818"
"T066336","4","10517"
"T110300","30","73094"
"T117048","8","69846"
"T145739","63","167885"
"T098546","23","122353"
"T100537","25","29979"
"T074071","38","68828"
"T136311","13","16546"
"T110247","5","10556"
"T146566","22","88644"
"T137131","10","76118"
"N037345","34","138203"
"T139478","1254","413407"
"W021976","7","30395"
"N039638","53","66730"
"W031889","169","87131"
"T122607","20","33251"
"T136233","70","1377050"
"N063561","12","65711"
"N014820","5","16924"
"T005959","137","123846"
"T146035","17","67841"
"T139449","176","168073"
"T108909","3","10535"
"T000870","13","10648"
"T178641","7","31899"
"W018694","9","7345"
"N012507","12","49954"
"T091602","23","42998"
"T013715","7","16722"
"T004789","13","10825"
"N002484","28","102938"
"T046581","29","65905"
"T038577","9","42941"
"N011153","5","21522"
"T050874","19","16822"
"T088895","6","43877"
"T071959","39","116356"
"T048835","5","4228"
"T003979","11","11856"
"N010056","6","10559"
"T110794","39","66419"
"T108809","9","7329"
"T122066","17","86867"
"T046610","11","23007"
"T084899","7","29493"
"T136514","7","45118"
"T027304","52","16588"
"T108411","7","21575"
"N019065","10","16448"
"T092208","5","11757"
"T092836","11","86761"
"N005752","15","10596"
"T149856","16","43381"
"T146351","22","12151"
"T165877","161","1118561"
"T046584","53","65856"
"T114018","12","16869"
"T166652","60","466125"
"T145739","59","167855"
"T175394","8","10533"
"T131033","10","82554"
"T001939","5","10549"
"P005964","70","118881"
"T092645","21","65664"
"N027120","8","14980"
"T059021","17","45165"
"T045463","8","43126"
"T111102","14","69953"
"T065753","19","26311"
"T041333","3","7667"
"T171567","12","23215"
"T079406","37","168906"
"W031190","43","169796"
"N016990","4","5389"
"T116855","9","11462"
"T070827","5","10549"
"N034908","54","483414"
"P000142","74","266352"
"T053971","7","10719"
"N004370","11","49468"
"T085261","201","1073417"
"N020334","16","11054"
"T211664","9","10856"
"T213495","30","267221"
"T109935","51","67046"
"T032192","20","51121"
"T113893","72","176188"
"N008398","10","134145"
"N005092","66","280483"
"W020682","5","10703"
"T044893","8","16724"
"T021269","3","17833"
"T086692","30","21785"
"T046576","46","65856"
"T183222","6","7384"
"T078581","18","121962"
"T111630","35","28213"
"T148509","16","44629"
"T084144","168","494248"
"W020315","26","35313"
"T118926","4","42088"
"T177414","13","88843"
"N068871","57","332108"
"T112802","53","262227"
"T063266","37","49584"
"N016929","14","7302"
"T041878","3","14627"
"T073187","8","17478"
"T108652","4","17849"
"T133102","9","66540"
"T118926","10","42069"
"T047490","8","33023"
"T088728","11","14859"
"T089985","9","43101"
"T170063","15","36488"
"T117698","27","125642"
"N002545","8","7321"
"T099360","9","56129"
"T028234","13","33447"
"T007171","12","21577"
"T094278","194","117455"
"W015751","41","86729"
"T155207","55","168548"
"T071961","23","71903"
"T184230","8","5530"
"T146519","21","67509"
"N004409","8","11208"
"T179679","20","16467"
"T121352","5","22292"
"T100408","9","43824"
"T100128","13","11550"
"W042772","28","71384"
"N016687","26","48259"
"T134553","33","175806"
"T108901","19","28235"
"N011457","31","16782"
"T088102","8","7309"
"T091794","29","68556"
"T132173","7","168854"
"T114900","18","32199"
"T097807","8","17838"
"N007939","17","30963"
"N008397","20","31618"
"T143537","26","11215"
"T130682","53","89433"
"T112777","7","29220"
"N052353","104","279791"
"T139933","14","77409"
"P002028","41","511745"
"T107418","12","45419"
"T096139","40","30961"
"T146819","40","124266"
"N013103","3","43955"
"T005869","7","31186"
"T048712","3","2661"
"T084428","15","31347"
"N010786","16","17750"
"T095812","31","83411"
"T038482","14","43391"
"N001500","17","65751"
"T097929","11","121325"
"T027298","13","10883"
"T052085","11","42003"
"T145987","70","123619"
"N026646","19","19055"
"T108171","28","92187"
"T041374","11","17495"
"T130905","21","139352"
"T130681","92","116989"
"T183942","8","10565"
"T098781","8","17492"
"T147885","5","10677"
"T050234","7","21801"
"T147415","79","171940"
"T091001","10","10578"
"T178280","15","16774"
"T115425","6","16492"
"W014028","38","117271"
"T101314","20","43680"
"T116250","29","23761"
"T117698","36","91038"
"T050794","8","10600"
"N006879","76","119209"
"T048570","8","4219"
"T091354","13","22544"
"T041730","7","43281"
"T077368","32","22099"
"T100489","5","34067"
"T037879","11","16448"
"T119490","14","29187"
"N041498","15","21258"
"T090148","50","177186"
"T117229","6","10513"
"T095117","17","118372"
"W028963","26","85885"
"T041766","12","29400"
"T184027","25","77184"
"T117305","10","16561"
"P003413","33","343638"
"T091601","33","43806"
"T073042","6","5369"
"T185994","7","29159"
"T050765","6","29171"
"T084396","5","16724"
"T054399","37","119968"
"T031748","3","22511"
"T154546","45","275789"
"N006260","18","42027"
"T113007","7","68813"
"T032060","12","18759"
"T061073","96","43551"
"T140556","74","86178"
"T038525","4","11880"
"N014821","5","17124"
"T177179","10","30192"
"T108615","13","30878"
"N027015","13","42559"
"T048426","4","29195"
"N000519","4","7689"
"T091447","22","26832"
"T140214","11","7321"
"T130678","25","44442"
"T069568","8","42683"
"T044913","8","29211"
"W021329","22","66663"
"N000081","5","22481"
"T175930","14","88822"
"T121658","40","91297"
"T095381","27","117760"
"T083502","107","89326"
"T109044","4","18530"
"T071963","31","90304"
"T115929","4","24121"
"T095382","73","102666"
"T105949","8","48844"
"T138374","33","66031"
"T117828","16","50133"
"T134120","11","12266"
"T092832","12","30970"
"T094278","108","86219"
"W030387","43","119192"
"T051439","7","1052"
"N013086","11","32603"
"T013528","13","11708"
"T055040","22","29370"
"N032232","7","7817"
"T065562","15","10570"
"T180110","5","4154"
"N004213","4","14662"
"T138192","31","66738"
"T223251","4","31070"
"T004778","25","29201"
"T200931","26","274356"
"T102253","20","73094"
"T147390","12","104313"
"T121885","4","29187"
