"metadata_ESTCID","Freq","TotalLength"
"T146100","3","42464"
"T138709","167","1411984"
"T055932","8","61252"
"T064267","10","90722"
"T092283","14","43885"
"T011210","13","179190"
"T060974","3","94419"
"T057830","4","10556"
"W002471","6","125346"
"T092325","18","10632"
"T131309","64","73546"
"N027802","26","42475"
"P002572","24","262827"
"N010657","12","7715"
"T098051","10","68849"
"T150137","20","123654"
"T090621","4","68592"
"T053256","3","45019"
"T026194","4","46287"
"T147006","3","120655"
"N011120","6","123544"
"T109176","35","170726"
"T131953","4","95641"
"P006675","3","68324"
"T110923","51","466823"
"T099478","17","118613"
"T147543","26","66086"
"T060056","18","27025"
"T120701","4","100150"
"T091561","31","67130"
"T143424","5","39739"
"N031731","7","42731"
"T133190","10","66477"
"T126673","11","57262"
"T131094","3","42170"
"T050908","26","43869"
"N020403","8","16467"
"T109963","10","20476"
"T173044","7","30175"
"T126842","12","34544"
"P002719","37","262257"
"T193384","15","13249"
"N010903","14","17876"
"T005834","8","20101"
"N069122","19","266949"
"T066318","29","19089"
"T050895","13","21443"
"T152908","36","169173"
"T213496","41","266082"
"T160848","103","681740"
"T046583","45","65856"
"N015587","12","16467"
"T102789","4","21739"
"N063290","51","128155"
"N019415","111","490905"
"T146092","47","72965"
"T108412","5","10689"
"T164247","22","67020"
"T127630","9","16520"
"T057654","4","2641"
"T127576","6","16507"
"T130902","17","132545"
"T056947","32","69509"
"T208292","8","4330"
"T108452","23","44908"
"T097747","289","193568"
"T011226","16","26984"
"T093953","68","104805"
"N016642","4","5455"
"T041681","11","66074"
"T110300","28","73094"
"T117048","7","69846"
"T145739","63","167885"
"T109819","21","68755"
"T119670","7","42345"
"T038249","9","4136"
"T098546","28","122353"
"T100537","25","29979"
"N003703","20","85865"
"T122410","13","65820"
"T110247","6","10556"
"T083498","7","30990"
"T146566","24","88644"
"T137131","14","76118"
"T139449","7","23800"
"W021976","5","30395"
"N005403","8","42920"
"W031889","173","87131"
"N063561","13","65711"
"N017961","4","11726"
"T144101","39","67257"
"T005959","145","123846"
"T146035","18","67841"
"T111260","8","29622"
"T139449","176","168073"
"T000870","13","10648"
"W018694","8","7345"
"T106776","4","9971"
"T091602","32","42998"
"T004789","12","10825"
"N002484","25","102938"
"T046581","28","65905"
"N018727","19","23777"
"T088895","6","43877"
"T071959","41","116356"
"T048835","5","4228"
"N010056","6","10559"
"T110794","36","66419"
"T172404","4","17764"
"T136426","88","503166"
"T002668","15","31969"
"T122066","18","86867"
"T119670","12","42007"
"T046610","13","23007"
"N023280","7","7611"
"T084899","6","29493"
"T108774","4","4124"
"T056458","8","10553"
"T136514","10","45118"
"N002825","10","73495"
"T215073","8","120807"
"T108411","7","21575"
"W037190","6","9986"
"T092836","10","86761"
"T149856","14","43381"
"T165877","159","1118561"
"T046584","46","65856"
"T070173","6","10712"
"T114018","12","16869"
"T136425","144","485149"
"T145739","56","167855"
"T145936","9","66627"
"T131033","10","82554"
"P005964","72","118881"
"N027516","14","26915"
"T092645","21","65664"
"N027120","8","14980"
"T059021","19","45165"
"T177414","20","90330"
"W004816","29","65688"
"T041435","6","17811"
"N003704","27","169384"
"T089865","8","16513"
"T079406","34","168906"
"W020522","40","127665"
"T155206","13","174335"
"T078227","15","16508"
"T056084","19","24104"
"W019245","13","21491"
"W031190","41","169796"
"T053722","50","29871"
"T144784","37","65773"
"N023433","9","21465"
"T118221","4","17156"
"T037376","6","25896"
"T116855","7","11462"
"T001974","7","10549"
"N034908","67","483414"
"T217786","4","4382"
"P000142","77","266352"
"T069376","6","5888"
"T085261","275","1073417"
"T154626","9","29632"
"N021173","4","2661"
"T213495","35","267221"
"T109935","47","67046"
"N005092","76","280483"
"T018341","3","30302"
"T058127","6","82539"
"T046576","45","65856"
"T145055","7","119202"
"T078581","21","121962"
"T084144","157","494248"
"T068547","21","72053"
"W020315","24","35313"
"T118926","6","42088"
"T177414","13","88843"
"T107053","26","174413"
"N068871","55","332108"
"T112802","50","262227"
"T063266","35","49584"
"T065483","13","71402"
"T073187","6","17478"
"T133102","8","66540"
"T118926","13","42069"
"T088728","13","14859"
"T089985","11","43101"
"T170063","13","36488"
"N005827","5","14665"
"W029683","26","116735"
"T117698","20","125642"
"N002545","8","7321"
"T146350","8","177449"
"T107729","3","3985"
"T069671","23","82689"
"N006879","132","167836"
"T133960","65","269042"
"T099360","7","56129"
"T002414","13","10626"
"T094278","184","117455"
"N019018","7","66312"
"W015751","39","86729"
"T045388","13","48194"
"T055716","26","10933"
"T155207","60","168548"
"T071961","24","71903"
"T146519","20","67509"
"T067329","15","65996"
"T100408","15","43824"
"T100128","12","11550"
"W042772","28","71384"
"T136382","17","90183"
"N016687","25","48259"
"T044642","10","25618"
"T108901","18","28235"
"T032776","7","5442"
"T178782","4","43190"
"T114900","18","32199"
"N008397","17","31618"
"N026543","9","6072"
"T130682","45","89433"
"T112777","7","29220"
"N052353","110","279791"
"T139933","12","77409"
"P002028","44","511745"
"T146819","36","124266"
"T188569","20","104306"
"T005869","8","31186"
"N002468","15","10513"
"N010786","17","17750"
"T095812","31","83411"
"W004819","7","19332"
"N001500","19","65751"
"T083641","8","2897"
"N060472","20","272194"
"T097929","12","121325"
"T052085","14","42003"
"T093937","18","46048"
"N026646","18","19055"
"W005416","13","86973"
"T066620","7","42679"
"T010153","3","10565"
"T084571","7","10741"
"T041374","8","17495"
"T130905","17","139352"
"N047116","6","10550"
"T037165","26","21850"
"T130681","128","116989"
"T153296","29","148478"
"T038012","16","7345"
"T098781","7","17492"
"T178720","14","90306"
"T147885","6","10677"
"T050234","10","21801"
"T147415","79","171940"
"N003705","11","85938"
"T115425","6","16492"
"W014028","40","117271"
"T101314","22","43680"
"T097938","22","92006"
