"metadata_ESTCID","Freq","TotalLength"
"P002572","8","169230"
"T138709","15","1411984"
"T114528","9","97449"
"T025362","3","121816"
"T089429","17","48023"
"T147006","27","120655"
"T110923","20","466823"
"T103707","4","281433"
"T096063","5","120320"
"T122825","17","180449"
"T149856","6","30333"
"P002719","7","262257"
"T136238","11","1377131"
"N069122","10","266949"
"N019415","5","490905"
"T164247","4","67020"
"T119887","12","66066"
"T093953","14","104805"
"T109819","11","68755"
"T098546","11","122353"
"T074071","7","68828"
"T122410","8","65820"
"T146566","11","88644"
"N005403","27","42920"
"T136233","11","1377050"
"T091602","5","42998"
"T038577","7","42941"
"T136426","7","503166"
"T149856","16","43381"
"T033348","8","21637"
"T136425","5","485149"
"P000142","12","266352"
"T085261","30","1073417"
"T213495","7","267221"
"N005092","12","280483"
"T101913","6","85812"
"T099360","11","56129"
"T137068","5","71333"
"T007171","5","21577"
"T155207","5","168548"
"T100408","20","43824"
"T000854","5","31391"
"T119592","11","43564"
"T146819","35","124266"
"T221165","8","268545"
"T178720","6","90306"
"T147415","20","171940"
"P003413","14","343638"
"T091601","3","43806"
"T054399","16","119968"
"T154546","6","275789"
"T113007","23","68813"
"T069568","27","42683"
"T119887","14","65966"
"T121658","13","91297"
"T092832","4","30970"
"W030387","21","119192"
"T131033","4","77768"
"T138192","5","66738"
"T030412","5","16559"
"T177583","13","22286"
"T146035","15","67081"
"N042986","16","71542"
"T136428","5","484926"
"T130758","6","58951"
"P003413","6","264103"
"T022163","5","16726"
"T144643","8","43609"
"T213497","8","266871"
"N019013","5","66288"
"P002719","14","262257"
"T004761","6","38123"
"T072099","28","67988"
"T117623","11","67940"
"P003017","4","181447"
"N014368","7","85721"
"T122410","13","65976"
"T096373","3","4144"
"T121339","33","120738"
"T089918","11","85919"
"T177414","9","90531"
"T136891","7","22591"
"T102910","3","168597"
"N029780","5","116921"
"N035842","3","21762"
"W002925","13","66213"
"T154542","5","172488"
"T223549","4","10647"
"P002719","7","266379"
"T154545","4","237735"
"N034459","6","29315"
"T060637","4","65677"
"T147415","8","171936"
"T123963","30","42695"
"P006031","19","179832"
"T132173","6","170224"
"T074401","3","10846"
"T180973","4","88250"
"P006669","10","31977"
"T125368","6","32014"
"T138955","3","73547"
"T193720","9","122203"
"N040759","4","281403"
"N004626","23","126304"
"T101515","19","1051575"
"T089156","6","125305"
"T077044","10","65767"
"T130668","17","86122"
"N010808","10","44075"
"T110636","22","67832"
"T153498","31","85989"
"T081818","3","73928"
"T122356","4","76680"
"P002572","18","170648"
"T039714","31","479753"
"P002572","3","119419"
"T147035","10","1054010"
"N016941","12","285051"
"T186889","4","85821"
"T145979","14","76491"
"T138428","7","262484"
"T088910","6","121667"
"T098191","9","117295"
"T146872","19","86459"
"N015693","11","530092"
"T135919","13","88925"
"T135993","4","42941"
"T088907","9","89977"
"T073491","7","109849"
"N020132","14","197852"
"T097133","11","65702"
"T135777","10","88426"
"T135771","4","87477"
"T139624","3","93189"
"T177160","5","88540"
"T139580","5","116703"
"T137892","11","71665"
"T131649","4","70009"
"T098245","3","129523"
"T022183","90","102724"
"T112978","6","31541"
"T130263","4","66346"
"T130681","3","117056"
"P000142","7","170441"
"T110018","3","11160"
"T000853","3","16467"
"T178720","3","89021"
"T074466","8","53760"
"T107760","3","466585"
"T069876","25","66595"
"T180973","8","89056"
"T178984","12","167978"
"T165249","3","43031"
"T092494","16","42425"
"T095581","3","21849"
"T153168","7","22787"
"P002719","16","266401"
"P002927","6","116628"
"T099975","5","92987"
"T147315","7","66493"
"T137422","4","91835"
"T082477","17","124024"
"T060748","16","183097"
"N006481","6","90300"
"T117623","18","73851"
"P002032","4","81697"
"W003398","6","29924"
"N018930","7","23516"
"T173044","10","42826"
"N068545","7","85721"
"N050172","11","266281"
"T123876","5","70855"
"T063441","5","31979"
"T136487","4","73254"
"T178984","12","169356"
"T093938","11","95702"
"N051934","5","267928"
"T119887","6","68411"
"T213350","7","90885"
"T082477","9","138608"
"P002032","5","56591"
"N046082","3","29288"
"N009958","7","80449"
"T138245","7","183132"
"T136487","9","65905"
"T060036","13","48788"
"T178720","8","89234"
"T131072","6","22591"
"T114759","4","23191"
"T155206","4","46444"
"T213499","9","274168"
"T108299","9","92611"
"T091664","32","186082"
"T155206","3","171264"
"T146092","4","71033"
"T141387","4","67105"
"T084341","12","66312"
"T082477","12","179059"
"T091600","5","47330"
"T119092","11","88647"
"T213500","4","173953"
"T147314","8","66296"
"T180973","8","68391"
"T076992","43","42352"
"T154544","19","180979"
"N052538","11","171504"
"N050174","9","122702"
"T113111","23","43956"
"T145322","18","58578"
"T040178","9","68097"
"T074467","12","118888"
"T144725","12","175726"
"N001803","10","43858"
"T221644","6","73219"
"N069259","6","265303"
"T002314","6","70227"
"T200947","4","42156"
"T058712","7","62246"
"N005401","26","42784"
"T137827","3","45625"
"T069156","8","67777"
"T146040","17","67704"
"T147589","8","66479"
"T137068","12","85995"
"T092836","8","97854"
"P002344","4","118104"
"W015750","13","86729"
"T130902","6","148848"
"T131033","7","96906"
"N026163","6","43473"
"T091423","15","42730"
"T213493","8","267634"
"T144725","7","212531"
"T147235","5","171456"
"T136232","6","1398971"
"N012562","18","65950"
"T083247","10","78876"
"T175352","7","90775"
"T106170","5","61769"
"T098463","8","16796"
"T117548","6","66398"
"N003090","7","45967"
"N006260","12","76130"
"N005401","4","66288"
"T146710","14","75076"
"N003703","28","65791"
"T145753","7","86118"
"T135301","6","42760"
"T116459","25","118339"
"P002371","7","169267"
"T084976","8","31345"
"T175880","11","168667"
"T140606","7","131578"
"P000142","8","172234"
"T144725","13","175968"
"T162631","5","86924"
"T154477","11","51159"
"T098413","5","43096"
"T154546","9","297180"
"N035850","3","19084"
"T062912","4","10693"
"T083934","5","85958"
"T213508","11","266269"
"T200934","9","277372"
"T082477","7","171903"
"T143434","3","66566"
"N019006","19","65812"
"T117817","16","120692"
"P002248","17","342607"
"N003703","13","67299"
"T074466","12","119244"
"W010121","9","29738"
"T090453","21","360029"
"T176314","16","70443"
"N050178","7","137596"
"T079283","5","172574"
"T086695","5","67454"
"T093671","4","66788"
"W011720","22","129541"
"T130322","6","22591"
"T084445","6","42957"
"T140774","6","87077"
"T213002","7","90977"
"T136232","10","1377038"
"T213479","5","171605"
"N005404","36","66606"
"T093272","8","43688"
"T098546","5","92987"
"T085255","21","42725"
"T074467","7","56377"
"N003684","6","21595"
"T039424","14","43526"
"P006290","9","203300"
"N022025","14","84615"
"T176314","11","66985"
"T215073","6","86122"
"P000142","10","171929"
"T048412","12","20698"
"T090453","21","354666"
"T084639","28","42736"
"T177414","4","89051"
"T002895","6","43981"
"T090071","3","17376"
"T051788","4","12405"
"T185989","8","65832"
"T138954","4","73943"
"T028333","3","22467"
"T069569","30","42695"
"T063346","7","42427"
"T069213","6","118252"
"N009008","18","92914"
"N006553","10","66291"
"T088372","6","70546"
"T106560","23","1070562"
"T036567","38","95393"
"T136632","5","71593"
"T087008","24","67146"
"T139263","33","1054184"
"T078081","28","266210"
"T078360","10","170977"
"T175667","4","278945"
"T101742","6","474589"
"T107340","8","168003"
"T072764","34","168199"
"N017775","16","263651"
"T079287","16","387405"
"N021925","30","66823"
"T116646","11","16841"
"T079698","16","68771"
"N035909","4","117942"
"T140244","6","29280"
"T103540","18","73757"
"T094136","11","102738"
"T133187","13","29681"
"T082472","9","122840"
"T101902","9","88301"
"T116369","13","126937"
"T131972","14","119977"
"T144701","10","483192"
"T092688","11","65973"
"T048833","3","349905"
"T136148","19","371164"
"T122632","9","121798"
"T076205","20","66333"
"T052793","7","64093"
"T129337","29","86300"
"T130934","6","42312"
"T132842","39","694653"
"T082618","8","46118"
"T051484","17","72449"
"T064481","16","273133"
"T129036","10","42484"
"T142268","3","127685"
"T093947","31","127532"
"T091603","5","42998"
"T071860","15","103664"
"T121386","5","128176"
"T137899","5","67912"
"T145011","20","67991"
"T167536","8","342475"
"T120079","6","66206"
"T141264","4","94627"
"N007471","7","89760"
"T111545","9","66470"
"T133183","3","47314"
"T135893","13","692341"
"T111489","14","486849"
"T178997","7","118072"
"T100351","20","66146"
"N027602","6","68125"
"T147176","12","415488"
"T100246","3","57017"
"T078361","19","268474"
"T138966","17","265592"
"T098191","8","86404"
"T132187","10","90403"
"T100773","4","125535"
"N014213","5","5599"
"T039856","10","671271"
"T115342","13","7428"
"N000008","7","94197"
"T085241","8","16605"
"T167650","10","175957"
"T071462","6","66651"
"T095864","8","63923"
"T002894","15","177541"
"T071141","7","117899"
"N002106","20","66167"
"T122416","4","54065"
"T138965","13","263256"
"N017760","10","68483"
"T108586","13","42789"
"T123553","7","67781"
"T187129","18","117499"
"T072017","9","86054"
"T011442","10","68530"
"T125488","7","116637"
"T146091","4","71052"
"T131022","14","91212"
"T064482","26","167959"
"T110954","3","88206"
"T219377","8","1060873"
"T139581","3","133551"
"T114125","5","85662"
"T052793","3","65965"
"T121707","8","121138"
"T175878","9","42215"
"T119318","7","21479"
"T113545","6","44065"
"T136755","10","126156"
"T071736","3","308294"
"T129399","5","16745"
"T120079","5","65822"
