"metadata_ESTCID","Freq","TotalLength"
"T124105","2","118464"
"T090624","3","47211"
"T057081","3","29512"
"N003088","3","13511"
"T134044","2","22418"
"T009318","2","5582"
"W020440","2","44525"
"T073254","10","10017"
"T008517","2","4608"
"T131597","2","42027"
"T131281","10","87626"
"T186459","2","11269"
"T132589","2","21547"
"T131597","8","68203"
"T146926","6","42286"
"T107662","4","87313"
"N003684","4","21626"
"T070113","3","270676"
"T119137","15","16568"
"T011226","2","26984"
"T119670","4","42345"
"N003703","28","85865"
"T136311","2","16546"
"T146035","6","67841"
"T117451","11","88933"
"T119670","12","42007"
"T058640","11","44183"
"T106154","3","21660"
"T165877","3","1118561"
"T027512","4","10999"
"N017235","3","66075"
"T105640","2","66675"
"N019018","8","66235"
"T059021","5","45165"
"N003704","31","169384"
"N053799","2","118688"
"T056084","3","24104"
"N034908","15","483414"
"T177414","5","88843"
"T107053","9","174413"
"N068871","3","332108"
"T132727","4","21626"
"T108652","7","17849"
"T089985","3","43101"
"T069671","4","82689"
"N053031","5","17101"
"N019018","9","66312"
"T147014","2","31408"
"N036060","5","41943"
"P002032","2","40789"
"P002028","7","511745"
"T063178","10","11583"
"T188569","7","104306"
"T175930","3","121421"
"T138763","4","269632"
"T097929","2","121325"
"T144565","7","42163"
"T163898","11","67799"
"T066620","3","42679"
"T135524","6","111352"
"T144565","3","42679"
"N006165","2","16783"
"N003705","26","85938"
"T101314","4","43680"
"T097938","8","92006"
"T090148","8","177186"
"T089449","6","133948"
"T197937","4","7337"
"T125065","3","16596"
"T086999","2","30685"
"T109513","2","2690"
"T057526","6","24195"
"T004007","7","65833"
"T175930","2","88822"
"T138374","9","66031"
"T117698","3","119405"
"T058982","11","129096"
"T178296","5","44307"
"N007987","4","121382"
"T074070","3","46159"
"T133708","2","44012"
"T165089","4","22197"
"T032264","2","16506"
"T074070","4","42165"
"T130758","4","66151"
"T093420","2","29286"
"T057936","3","29496"
"T138372","8","66055"
"T082906","6","69368"
"T002895","5","94116"
"T117629","2","22180"
"T058982","14","85937"
"N014664","2","24566"
"T092097","6","47885"
"T132794","3","10505"
"T078345","6","29539"
"T180973","4","88976"
"N021580","3","22845"
"N019006","5","87905"
"T129680","19","17267"
"T058982","16","87359"
"T165786","2","1888"
"T176027","2","6161"
"T095977","3","17903"
"T066624","7","42175"
