"metadata_ESTCID","Freq","TotalLength"
"P002572","4","169230"
"T090432","3","1095015"
"T138709","12","1411984"
"T138024","6","31666"
"T113598","2","71367"
"T114528","7","97449"
"N002197","4","209592"
"N028296","2","1050198"
"T105509","3","173183"
"W002471","5","125346"
"T131309","2","73546"
"N003564","3","50126"
"P002572","2","262827"
"T025362","2","121816"
"T089429","8","48023"
"P006021","7","117680"
"T111103","2","10681"
"T121918","2","71041"
"T147006","26","120655"
"W020728","40","46564"
"T109176","6","170726"
"T113142","4","191085"
"T110923","8","466823"
"N008929","3","207460"
"T116394","4","209607"
"T103707","3","281433"
"T165018","5","32023"
"T096063","4","120320"
"N005843","2","103897"
"T122825","16","180449"
"T061545","4","19733"
"N008422","10","65773"
"T026901","2","32014"
"T173044","3","30175"
"T149856","5","30333"
"P002719","6","262257"
"T136238","5","1377131"
"N069122","8","266949"
"T213496","4","266082"
"T046583","5","65856"
"N019415","4","490905"
"T164247","2","67020"
"T130902","4","132545"
"T119489","2","36465"
"T119887","9","66066"
"T134850","5","67477"
"T093953","13","104805"
"T041681","2","66074"
"T117048","3","69846"
"T109819","3","68755"
"T098546","3","122353"
"T074071","3","68828"
"T122410","5","65820"
"T146566","5","88644"
"T137131","8","76118"
"N037345","13","138203"
"N005403","21","42920"
"T136233","4","1377050"
"N021364","2","10742"
"T060825","2","7744"
"W018694","2","7345"
"N001743","4","17020"
"T091602","2","42998"
"T046581","5","65905"
"T038577","5","42941"
"T110794","7","66419"
"T001119","2","11628"
"T136426","6","503166"
"N019579","2","4216"
"T092836","2","86761"
"T149856","9","43381"
"T033348","7","21637"
"T046584","4","65856"
"T114018","3","16869"
"T136425","4","485149"
"T131033","3","82554"
"T149178","4","42464"
"P000142","10","266352"
"T085261","15","1073417"
"T213495","4","267221"
"T129033","7","30360"
"N005092","5","280483"
"T111630","5","28213"
"T101913","3","85812"
"T068455","2","29894"
"T095962","7","87175"
"T099360","7","56129"
"T137068","4","71333"
"T007171","3","21577"
"N019644","2","4179"
"T155207","4","168548"
"T146519","2","67509"
"T100408","18","43824"
"N016687","2","48259"
"T086977","2","16835"
"T164627","4","42605"
"T000854","3","31391"
"T119592","9","43564"
"T146819","22","124266"
"T084428","3","31347"
"T221165","6","268545"
"T041374","2","17495"
"T178720","2","90306"
"T147415","10","171940"
"P003413","11","343638"
"T091601","2","43806"
"T054399","4","119968"
"T154546","4","275789"
"T113007","22","68813"
"T032060","3","18759"
"T092418","4","73724"
"T108615","3","30878"
"T069568","22","42683"
"T119887","8","65966"
"N026163","25","42353"
"T121658","12","91297"
"T162631","4","117431"
"T117828","4","50133"
"T092832","3","30970"
"N021867","5","11099"
"W030387","20","119192"
"T131033","3","77768"
"T138192","3","66738"
"N008950","3","58668"
"T200931","4","274356"
"T030412","4","16559"
"T177583","12","22286"
"T146035","13","67081"
"N042986","3","71542"
"T136428","3","484926"
"T144374","5","29646"
"N050173","14","268436"
"T129027","4","29423"
"T130758","3","58951"
"T110944","3","17491"
"P002032","4","41100"
"P003413","5","264103"
"T022163","4","16726"
"T144643","7","43609"
"N020982","2","66309"
"T108584","2","69155"
"T076062","2","32327"
"T063764","12","29356"
"T213497","7","266871"
"N019013","4","66288"
"N006811","5","120845"
"T084641","2","33139"
"N006651","2","46023"
"N027684","2","11180"
"N023377","8","22256"
"T161023","10","116675"
"N029780","4","117312"
"T155206","2","173415"
"T125821","4","25332"
"P002719","12","262257"
"T004761","3","38123"
"T072099","26","67988"
"T117623","4","67940"
"P003017","3","181447"
"N014368","4","85721"
"T161022","9","116690"
"T002859","5","52808"
"W029476","2","21038"
"T122410","10","65976"
"T095973","8","87145"
"T096373","2","4144"
"T121339","26","120738"
"T001075","3","24392"
"T100690","3","21626"
"T089918","7","85919"
"T177414","5","90531"
