"metadata_ESTCID","Freq","TotalLength"
"T138024","3","31666"
"N019842","3","21930"
"T105509","2","173183"
"W002471","2","125346"
"N012212","2","30595"
"T131309","3","73546"
"P006021","2","117680"
"T121416","2","66626"
"N000004","2","106435"
"T105087","2","70201"
"T147006","6","120655"
"T112695","3","263575"
"N016511","2","63486"
"T072780","2","63213"
"T134044","2","22418"
"T131597","3","42027"
"T186459","3","11269"
"T103707","2","281433"
"T122825","6","180449"
"T061545","3","19733"
"T026901","2","32014"
"T055929","3","109618"
"T149856","4","30333"
"T107662","6","87313"
"P002719","5","262257"
"T136238","4","1377131"
"N069122","7","266949"
"T175875","2","5564"
"T046583","4","65856"
"T010569","2","48044"
"N019415","2","490905"
"T199618","2","4259"
"T130902","5","132545"
"T119887","8","66066"
"T109819","5","68755"
"T119670","3","42345"
"T098546","4","122353"
"T074071","3","68828"
"N003703","22","85865"
"T083498","7","30990"
"T146566","3","88644"
"T137131","11","76118"
"N037345","3","138203"
"N005403","22","42920"
"T136233","4","1377050"
"T005959","4","123846"
"T146035","8","67841"
"T117451","10","88933"
"T046581","4","65905"
"T136426","3","503166"
"T119670","11","42007"
"T149856","6","43381"
"T046584","4","65856"
"T136425","2","485149"
"T131033","2","82554"
"N019018","8","66235"
"N003704","23","169384"
"N053799","4","118688"
"T174513","2","4116"
"T144784","3","65773"
"T085261","6","1073417"
"T123917","4","88456"
"T213495","8","267221"
"T129033","7","30360"
"N005092","7","280483"
"T078581","6","121962"
"T107053","3","174413"
"N068871","3","332108"
"T068455","3","29894"
"N005947","2","10732"
"T135239","2","1040"
"N053031","5","17101"
"T137068","3","71333"
"T007171","3","21577"
"N019018","7","66312"
"T155207","4","168548"
"N015923","3","10884"
"T067329","4","65996"
"T100408","10","43824"
"T164627","3","42605"
"T037865","3","10704"
"P002028","4","511745"
"T146819","20","124266"
"T188569","6","104306"
"T144565","6","42163"
"T066620","3","42679"
"T041374","2","17495"
"T144565","3","42679"
"T178720","2","90306"
"T147415","6","171940"
"N003705","19","85938"
"T101314","4","43680"
"T097938","3","92006"
"T082997","4","7473"
"T089449","4","133948"
"P003413","10","343638"
"T197937","3","7337"
"T054399","3","119968"
"N006260","8","42027"
"T113007","7","68813"
"T092418","5","73724"
"T130678","3","44442"
"T069568","23","42683"
"N026163","20","42353"
"T162631","3","117431"
"T117828","3","50133"
"N018907","2","42110"
"N021867","5","11099"
"W030387","3","119192"
"T058982","8","129096"
"T138192","2","66738"
"N008950","4","58668"
"T200931","3","274356"
"T133708","4","44012"
"T030412","6","16559"
"T177583","11","22286"
"T146035","13","67081"
"N042986","2","71542"
"T136428","2","484926"
"N050173","6","268436"
"T129027","3","29423"
"T093420","2","29286"
"T130758","4","58951"
"N029694","3","33610"
"T058982","15","85937"
"P003413","8","264103"
"T090779","2","18615"
"T092097","7","47885"
"T078345","5","29539"
"T180973","3","88976"
"N019006","3","87905"
"N020982","2","66309"
"T129680","12","17267"
"T058982","7","87359"
"T095977","2","17903"
"T076062","2","32327"
"T066624","6","42175"
"N019268","2","22817"
"T153630","2","42978"
"T213497","5","266871"
"T115828","5","41955"
"N019013","4","66288"
"N050177","4","120729"
"N006811","2","120845"
"T136977","9","91110"
"T160877","17","86489"
"T084641","2","33139"
"N006651","4","46023"
"T133177","3","43724"
"N023377","7","22256"
"T161023","5","116675"
"T063450","3","93613"
"T029288","5","65820"
"T116504","5","66275"
"T155206","2","173415"
"T105670","3","10598"
"T136487","6","65732"
"T125821","3","25332"
"P002719","5","262257"
"T004761","3","38123"
"T072099","13","67988"
"T155591","4","53905"
"T117623","4","67940"
"P003017","7","181447"
"T183868","3","24744"
"T081771","3","22372"
"T079283","7","120881"
"T110125","3","29810"
"T161022","4","116690"
"T002859","7","52808"
"N003382","2","22342"
"T101901","6","45397"
"T012177","2","10550"
"T097938","3","90569"
"T122410","9","65976"
"T105454","3","30449"
"T096373","3","4144"
"N019006","16","85844"
"T089918","4","85919"
"T099957","2","9685"
"N011096","6","31958"
"T046579","4","65856"
"N034994","4","25051"
"T102910","3","168597"
"N029780","5","116921"
"N035842","2","21762"
"W002925","6","66213"
"T154542","2","172488"
"T140774","4","87390"
"N005403","6","66579"
"N006261","2","67431"
"T116155","2","23038"
"T154545","3","237735"
"N015725","3","86691"
"T127198","2","2707"
"W013562","11","96337"
"T123963","25","42695"
"P006031","18","179832"
"T041511","2","44876"
"T180973","2","88250"
"T122794","3","86393"
"N016052","4","186234"
"P006669","4","31977"
"T224411","2","21512"
"T133958","4","191598"
"T066036","5","74475"
"N014368","6","69288"
"T165875","3","58737"
"T125368","4","32014"
"T066623","7","42659"
"T098546","7","121191"
"T185989","4","73243"
"T141134","2","86593"
"T018922","3","27868"
"T097924","4","89401"
"T085468","2","66968"
"T138955","3","73547"
"T193720","5","122203"
"T194420","2","22824"
"T131947","10","94373"
"N040759","2","281403"
"N004626","5","126304"
"T101515","6","1051575"
"T113802","14","66373"
"T126294","4","66393"
"T146150","2","88174"
"W036929","7","66708"
"T080193","7","123769"
"T055962","3","22338"
"T144147","4","174573"
"T073050","3","117905"
"T130668","3","86122"
"N010808","7","44075"
"T153498","24","85989"
"N003562","2","82461"
"P002572","7","170648"
"T154285","5","1144784"
"N003564","2","36980"
"N012773","2","121745"
"T131949","2","86453"
"T131954","4","98984"
"T060974","2","72376"
"T117849","2","69813"
"T073405","2","71016"
"P002572","5","119525"
"N016941","7","285051"
"T038511","6","42166"
"T109813","4","21721"
"T145979","4","76491"
"T109334","7","43438"
"T119363","4","117701"
"N011212","2","67661"
"T078977","2","102426"
"T135919","3","88925"
"T075125","6","139289"
"T119122","3","66172"
"T073491","4","109849"
"T121786","2","118312"
"T136380","3","87174"
"T040980","2","29834"
"T097133","7","65702"
"T145260","4","86231"
"T036569","17","93390"
"T135771","4","87477"
"T090741","3","16755"
"T088889","3","42730"
"T150578","3","73595"
"T137892","6","71665"
"T073302","3","30158"
"T130734","2","44805"
"T098245","2","129523"
"P002572","6","266565"
"T109490","3","22058"
"T057157","3","42939"
"T130263","2","66346"
"T129173","13","43142"
"N004117","4","21399"
"P000142","2","170441"
"T144962","2","30645"
"T110018","4","11160"
"T118307","3","29840"
"T163859","5","66172"
"T144565","11","20157"
"T178720","3","89021"
"T056190","2","10549"
"N013039","5","42448"
"N027255","3","29782"
"T097924","5","121454"
"T147415","2","171032"
"T041731","2","43032"
"T153298","2","265685"
"N014258","3","22943"
"T092494","8","42425"
"N008403","2","38399"
"T108456","3","69548"
"T043635","3","27884"
"P002719","7","266401"
"T012697","14","105413"
"T133960","6","286694"
"P002927","2","116628"
"N000660","4","65856"
"T099975","6","92987"
"T146147","2","88252"
"T221183","5","269998"
"T137422","5","91835"
"T055173","7","5131"
"T060748","6","183097"
"T066624","2","42679"
"T030440","7","42256"
"T117623","5","73851"
"T135976","8","302136"
"T117548","3","71944"
"P002831","2","4818"
"T108629","13","30549"
"T223993","2","11243"
"P002032","2","81697"
"N014289","6","41981"
"T116429","9","20942"
"T059439","2","4221"
"N008301","2","21463"
"T096597","2","22393"
"T109550","3","25296"
"T011027","12","91311"
"T097928","5","121346"
"N048331","4","65856"
"N005401","16","66341"
"N021192","7","16657"
"T173044","6","42826"
"T213481","5","268436"
"T041510","2","44300"
"N050172","6","266281"
"N045850","8","70313"
"T146564","5","119967"
"T135433","3","118019"
"T170201","6","66554"
"T065554","2","5431"
"T136487","4","73254"
"T107856","2","29274"
"T096963","4","79954"
"T110673","5","291923"
"T129570","2","38399"
"T046580","4","65856"
"T079445","2","3116"
"T046585","4","65856"
"N051934","8","267928"
"N003668","8","67612"
"T058982","14","117027"
"N009326","5","10906"
"T119887","11","68411"
"T097929","4","120144"
"T111119","2","67587"
"T082477","3","138608"
"P002032","3","56591"
"T108469","4","16464"
"T092975","7","29360"
"P002032","5","58653"
"T046578","4","65856"
"T065764","2","9284"
"T123917","5","90648"
"N009958","3","80449"
"T138245","3","183132"
"T125828","5","43470"
"T195770","7","77364"
"T136487","15","65905"
"T104144","5","29563"
"T060036","8","48788"
"T182074","5","42712"
"T129397","6","66600"
"T147493","3","66471"
"T085073","2","38388"
"T114759","3","23191"
"T100170","5","17538"
"T155206","3","46444"
"T213499","4","274168"
"T114739","2","93227"
"T066622","12","24425"
"T168082","2","3096"
"T067471","2","33408"
"T108299","4","92611"
"T091664","4","186082"
"N009209","3","66964"
"T100080","3","118276"
"T173353","2","67083"
"T155206","6","171264"
"T084639","12","66329"
"T146092","2","71033"
"T004123","3","24331"
"T141387","3","67105"
"N003705","4","98824"
"T043949","2","10608"
"P002031","4","511723"
"T082477","5","179059"
"T011016","17","98131"
"T119092","15","88647"
"T001666","2","5589"
"T213500","3","173953"
"N035381","2","67007"
"T041729","2","43365"
"T144419","8","280250"
"N009959","2","5389"
"N014289","3","41991"
"T116493","3","21675"
"T185989","3","65739"
"T088373","3","43083"
"T150111","13","42722"
"T036006","6","13130"
"W021969","2","42056"
"T175227","2","22737"
"T225696","19","66835"
"W031464","4","86342"
"T150007","2","23923"
"T069569","13","66288"
"T096551","2","47614"
"T154544","2","180979"
"T010568","4","120702"
"T072034","2","17179"
"N052538","5","171504"
"N026648","2","4180"
"N050174","5","122702"
"T113111","11","43956"
"T011022","13","98119"
"T109189","5","30245"
"T058982","5","116847"
"T088372","6","67028"
"T135435","7","87137"
"T070301","18","87830"
"T074467","2","118888"
"T110986","2","5432"
"N001803","2","43858"
"T221644","6","73219"
"N069259","3","265303"
"N029695","3","34306"
"T073413","3","68328"
"N016258","4","92129"
"N009957","6","79472"
"N004028","2","17105"
"T058712","6","62246"
"N005401","22","42784"
"T006488","2","1903"
"T069156","5","67777"
"T146040","15","67704"
"T076095","7","10532"
"N068873","3","281246"
"T070301","14","88475"
"P002344","5","118104"
"T137639","6","32209"
"W015750","3","86729"
"N026163","4","43473"
"T163859","7","37468"
"T011018","15","98155"
"T125095","7","47573"
"T125308","4","22163"
"T033071","2","88638"
"T091423","10","42730"
"T213493","5","267634"
"T115036","3","20860"
"T155208","3","46444"
"T074466","2","117384"
"N008950","4","67405"
"N003217","2","16935"
"T179171","2","43284"
"T136232","6","1398971"
"T083247","3","78876"
"N028658","2","22111"
"T147103","2","46052"
"T090649","3","10736"
"T108354","4","44327"
"N002827","2","68714"
"T150808","2","254753"
"T098463","4","16796"
"T117548","5","66398"
"N003090","3","45967"
"T040768","8","70574"
"N006260","14","76130"
"N005401","6","66288"
"N003705","9","87410"
"P002371","2","169267"
"T137615","4","47615"
"T177414","2","90475"
"T084976","6","31345"
"T058982","6","85996"
"T175880","3","168667"
"T140606","6","131578"
"T049281","2","11150"
"T115204","4","10806"
"P000142","2","172234"
"T132173","2","169031"
"T144725","3","175968"
"T066624","11","25160"
"T154477","3","51159"
"T060893","2","10008"
"T173291","3","124263"
"T154546","4","297180"
"T011019","15","98131"
"N013039","3","42448"
"N035850","3","19084"
"T001029","2","43028"
"T038308","4","25987"
