"metadata_ESTCID","Freq","TotalLength"
"P002572","3","169230"
"T090432","14","1095015"
"T138709","43","1411984"
"T138024","15","31666"
"T012225","4","7330"
"T113598","2","71367"
"T089338","3","22378"
"T060974","11","94419"
"T114528","2","97449"
"N002197","9","209592"
"N028296","7","1050198"
"W002471","6","125346"
"T131309","5","73546"
"N003564","2","50126"
"T056446","8","1049516"
"P002572","2","262827"
"T057081","2","29512"
"T025362","3","121816"
"T089429","6","48023"
"T121416","6","66626"
"P006675","2","68246"
"T051628","16","68005"
"T028055","2","7997"
"T022987","10","439465"
"N000004","3","106435"
"T121918","2","71041"
"T111682","11","86272"
"T028064","2","20501"
"T163726","2","48645"
"N003088","3","13511"
"T147006","12","120655"
"T112220","4","7342"
"T112695","3","263575"
"T072780","4","63213"
"T056255","3","86846"
"W020728","3","46564"
"T109176","4","170726"
"T113142","9","191085"
"T064311","4","93379"
"T131953","8","95641"
"T073254","4","10017"
"T110923","6","466823"
"T129850","5","171036"
"T099478","6","118613"
"T147543","2","66086"
"N008929","10","207460"
"T131597","3","42027"
"N022624","3","7364"
"N001293","2","125114"
"T116394","10","209607"
"T131281","2","87626"
"T131962","11","94289"
"N002162","2","25464"
"T165018","18","32023"
"T089332","2","9896"
"T070583","3","22227"
"N001896","2","25674"
"T131597","9","68203"
"T055021","2","25032"
"T096063","7","120320"
"T093704","2","33129"
"T122825","4","180449"
"T061545","12","19733"
"N008422","11","65773"
"T113891","3","66475"
"T026901","15","32014"
"T173044","3","30175"
"T149856","6","30333"
"T146926","4","42286"
"T107662","7","87313"
"N003684","7","21626"
"P002719","8","262257"
"T136238","27","1377131"
"N069122","12","266949"
"T213496","6","266082"
"T046583","2","65856"
"T010569","8","48044"
"N019415","5","490905"
"W026110","2","143854"
"T119137","13","16568"
"T119887","13","66066"
"T134850","5","67477"
"T093953","4","104805"
"T117048","3","69846"
"T109819","4","68755"
"T119670","5","42345"
"T098546","3","122353"
"T074071","4","68828"
"N003703","36","85865"
"T122410","4","65820"
"T136311","3","16546"
"T083498","7","30990"
"T146566","3","88644"
"T137131","17","76118"
"N037345","3","138203"
"N005403","37","42920"
"T136233","21","1377050"
"T060825","2","7744"
"T005959","3","123846"
"T146035","7","67841"
"T111260","3","29622"
"T117451","16","88933"
"T091602","2","42998"
"T046581","2","65905"
"N018727","2","23777"
"T038577","10","42941"
"T088895","3","43877"
"T001119","2","11628"
"T136426","6","503166"
"T119670","21","42007"
"T058640","3","44183"
"T092836","3","86761"
"T033348","3","21637"
"T046584","2","65856"
"T136425","7","485149"
"T131033","3","82554"
"T129144","2","14674"
"N019018","16","66235"
"T010641","3","13030"
"N003704","23","169384"
"T041333","2","7667"
"N053799","3","118688"
"T174513","2","4116"
"N018452","2","7398"
"P000142","4","266352"
"T085261","12","1073417"
"T123917","3","88456"
"T213495","9","267221"
"N005092","11","280483"
"T078581","7","121962"
"T111630","5","28213"
"T177414","4","88843"
"T107053","3","174413"
"T101913","10","85812"
"N068871","9","332108"
"T068455","3","29894"
"N005947","5","10732"
"T109985","7","22006"
"T135239","2","1040"
"T089985","3","43101"
"T095962","3","87175"
"T099360","5","56129"
"N053031","7","17101"
"T137068","3","71333"
"T007171","3","21577"
"N019018","14","66312"
"T155207","13","168548"
"T147014","4","31408"
"N036060","3","41943"
"T146519","2","67509"
"T067329","12","65996"
"T100408","12","43824"
"T136382","12","90183"
"N016687","2","48259"
"P002032","2","40789"
"P002028","7","511745"
"T000854","3","31391"
"T119592","9","43564"
"T146819","24","124266"
"T188569","8","104306"
"T175930","4","121421"
"T084428","2","31347"
"T221165","14","268545"
"T097929","6","121325"
"T163898","18","67799"
"T066620","2","42679"
"T144565","2","42679"
"T178720","4","90306"
"T147415","12","171940"
"N003705","33","85938"
"T101314","6","43680"
"T097938","3","92006"
"T082997","2","7473"
"T035481","4","34649"
"T119490","2","29187"
"T090148","2","177186"
"T117229","2","10513"
"T089449","5","133948"
"P003413","17","343638"
"T091601","2","43806"
"T197937","3","7337"
"T154546","21","275789"
"N006260","10","42027"
"T113007","12","68813"
"T032060","2","18759"
"T086999","5","30685"
"T108615","3","30878"
"T057526","3","24195"
"T004007","5","65833"
"T130678","6","44442"
"T069568","35","42683"
"T119887","8","65966"
"N026163","14","42353"
"T175930","6","88822"
"T162631","3","117431"
"T117828","5","50133"
"N018907","8","42110"
"N021867","6","11099"
"W030387","10","119192"
"T117698","10","119405"
"T058982","14","129096"
"T131033","6","77768"
"N018608","5","14738"
"T138192","2","66738"
"N008950","8","58668"
"T200931","6","274356"
"N007987","8","121382"
"T133708","2","44012"
"T030412","6","16559"
"T177583","33","22286"
"T146035","19","67081"
"T165089","4","22197"
"N042986","7","71542"
"T009547","3","10635"
"T136428","5","484926"
"T144374","6","29646"
"N050173","9","268436"
"T155101","4","127162"
"T129027","4","29423"
"T093420","2","29286"
"T169327","4","16824"
"T110944","6","17491"
"N029694","8","33610"
"T082906","3","69368"
"T117629","2","22180"
"T058982","18","85937"
"P002032","4","41100"
"P003413","11","264103"
"T090779","2","18615"
"T092097","14","47885"
"T132794","2","10505"
"T078345","30","29539"
"T180973","8","88976"
"N021580","6","22845"
"T144643","5","43609"
"P002032","2","61655"
"N019006","4","87905"
"N020982","5","66309"
"T129680","18","17267"
"T180713","6","21849"
"T058982","11","87359"
"T165786","2","1888"
"T108584","2","69155"
"T095977","2","17903"
"T076062","6","32327"
"T001081","2","2685"
"T180973","3","89039"
"T063764","8","29356"
"T124516","2","89851"
"T213497","9","266871"
"T115828","9","41955"
"N019488","4","5452"
"T083753","2","101925"
"N019013","13","66288"
"T177669","16","43129"
"N050177","5","120729"
"T133787","13","42427"
"T136977","12","91110"
"T160877","24","86489"
"T133177","4","43724"
"N008416","5","65746"
"N027684","2","11180"
"N023377","25","22256"
"T079313","3","16467"
"T175625","2","8060"
"T063450","8","93613"
"T029288","7","65820"
"N029780","6","117312"
"T116504","6","66275"
"T155206","2","173415"
"T136487","7","65732"
"T149360","7","86652"
"T125821","6","25332"
"T162395","3","43160"
"P002719","7","262257"
"T004761","3","38123"
"T072099","17","67988"
"T032718","2","11194"
"T155591","2","53905"
"T117623","6","67940"
"P003017","3","181447"
"T147415","8","149825"
"N014368","10","85721"
"T081771","3","22372"
"T079283","7","120881"
"T110125","4","29810"
"T092670","7","14663"
"T002859","12","52808"
"N003382","3","22342"
"T135467","2","176059"
"T101901","15","45397"
"T097938","3","90569"
"T122410","9","65976"
"T095973","4","87145"
"T063191","4","44143"
"T127310","3","5492"
"N019006","29","85844"
"T121339","26","120738"
"T001075","4","24392"
"P002287","6","69607"
"T100690","4","21626"
"T135365","11","27534"
"T117230","4","11461"
"T089918","17","85919"
"T153060","3","92229"
"T099957","3","9685"
"T182182","9","21862"
"T177414","8","90531"
"T046579","2","65856"
"N034994","3","25051"
"T136891","8","22591"
"N029780","6","116921"
"T173761","4","94904"
"W002925","10","66213"
"T154542","5","172488"
"N005403","12","66579"
"W002987","4","31218"
"N006261","3","67431"
"P002719","5","266379"
"T054156","2","5377"
"T097165","2","10673"
"T154620","7","10513"
"T011227","2","21631"
"T190313","5","11069"
"T154545","6","237735"
"T092638","2","10569"
"N034246","4","66903"
"N034459","6","29315"
"N015725","5","86691"
"N002336","2","5472"
"W013562","10","96337"
"T147415","6","171936"
"T118423","3","68218"
"T123963","39","42695"
"P006031","18","179832"
"T132173","2","170224"
"T041511","6","44876"
"T180973","14","88250"
"N016052","13","186234"
"N010613","6","12510"
"P006669","6","31977"
"T224411","2","21512"
"T133958","10","191598"
"T088372","3","87684"
