"metadata_ESTCID","Freq","TotalLength"
"P002572","7","169230"
"T090432","2","1095015"
"T138709","11","1411984"
"T060974","5","94419"
"W002471","2","125346"
"T131309","2","73546"
"N027762","2","6917"
"T089429","25","48023"
"T121416","2","66626"
"P006675","2","68246"
"T058745","3","70103"
"T111103","2","10681"
"T111682","2","86272"
"T147006","8","120655"
"T056255","3","86846"
"T109176","7","170726"
"T064311","4","93379"
"T110923","17","466823"
"T099478","5","118613"
"T147543","12","66086"
"T131597","2","42027"
"T131281","7","87626"
"T131962","3","94289"
"N016760","2","9124"
"T131597","7","68203"
"T122825","6","180449"
"T061545","3","19733"
"T173044","2","30175"
"T149856","5","30333"
"T146926","8","42286"
"T107662","11","87313"
"N003684","4","21626"
"P002719","9","262257"
"N069122","13","266949"
"T213496","7","266082"
"T046583","4","65856"
"T105641","3","24821"
"N019415","2","490905"
"T164247","3","67020"
"T199618","2","4259"
"W026110","2","143854"
"T120780","2","16718"
"T130902","6","132545"
"T119137","13","16568"
"T119887","12","66066"
"T011226","4","26984"
"T093953","4","104805"
"T041681","2","66074"
"T117048","3","69846"
"T109819","7","68755"
"T119670","3","42345"
"T098546","8","122353"
"T074071","4","68828"
"N003703","22","85865"
"T122410","4","65820"
"T083498","5","30990"
"T146566","5","88644"
"T137131","10","76118"
"N037345","4","138203"
"N005403","29","42920"
"T136233","5","1377050"
"T005959","6","123846"
"T146035","12","67841"
"T111260","7","29622"
"T117451","9","88933"
"T091602","4","42998"
"T046581","4","65905"
"T110794","4","66419"
"T138129","2","23422"
"T001119","3","11628"
"T136426","4","503166"
"T119670","21","42007"
"T058640","3","44183"
"N019579","3","4216"
"T106154","4","21660"
"T149856","6","43381"
"T165877","2","1118561"
"T033348","6","21637"
"T046584","4","65856"
"T114018","2","16869"
"T027512","4","10999"
"T136425","3","485149"
"T049252","2","4161"
"N017235","4","66075"
"T031200","4","11232"
"N019018","14","66235"
"T004133","2","23879"
"N003704","25","169384"
"T056084","5","24104"
"T144784","4","65773"
"N034908","15","483414"
"P000142","9","266352"
"T085261","47","1073417"
"T213495","13","267221"
"T129033","8","30360"
"N005092","11","280483"
"T090087","2","7368"
"T111630","6","28213"
"T130524","2","4106"
"T177414","9","88843"
"T107053","4","174413"
"T101913","5","85812"
"N068871","5","332108"
"T068455","2","29894"
"T065483","5","71402"
"N005947","8","10732"
"T108652","3","17849"
"T109985","4","22006"
"N053031","7","17101"
"T137068","10","71333"
"T007171","4","21577"
"N019018","11","66312"
"N019644","4","4179"
"T155207","20","168548"
"N015923","5","10884"
"N036060","2","41943"
"T146519","8","67509"
"T067329","9","65996"
"T100408","9","43824"
"T136382","3","90183"
"N016687","2","48259"
"P002032","3","40789"
"T097807","2","17838"
"T118422","3","45767"
"P002028","8","511745"
"T011315","2","10948"
"T146819","17","124266"
"T188569","5","104306"
"T084428","3","31347"
"T138763","3","269632"
"W004819","2","19332"
"T221165","6","268545"
"T097929","7","121325"
"T144565","10","42163"
"T163898","13","67799"
"T066620","3","42679"
"T041374","5","17495"
"T135524","5","111352"
"N006165","2","16783"
"T085548","3","7529"
"T178720","7","90306"
"T147415","9","171940"
"N003705","19","85938"
"T097938","4","92006"
"T082997","2","7473"
"T091354","2","22544"
"N026286","4","16431"
"T090148","3","177186"
"P003413","13","343638"
"T091601","3","43806"
"T054399","4","119968"
"T154546","4","275789"
"N006260","8","42027"
"T113007","6","68813"
"T032060","2","18759"
"T086999","2","30685"
"T004007","5","65833"
"T069568","26","42683"
"T119887","9","65966"
"N026163","14","42353"
"T175930","5","88822"
"T121658","7","91297"
"T162631","3","117431"
"T138374","8","66031"
"T117828","3","50133"
"N018907","3","42110"
"N021867","6","11099"
"T117698","3","119405"
"T058982","30","129096"
"T131033","3","77768"
"T178296","4","44307"
"T138192","8","66738"
"T200931","9","274356"
"T147390","5","104313"
"N007987","9","121382"
"T133708","3","44012"
"T030412","5","16559"
"T146035","17","67081"
"T165089","3","22197"
"N042986","2","71542"
"T070330","2","10805"
"T130758","4","66151"
"T144374","7","29646"
"N050173","10","268436"
"T145496","2","171640"
"T136311","3","16747"
"T129027","3","29423"
"T093420","3","29286"
"T169327","3","16824"
"T138372","8","66055"
"T082906","3","69368"
"T117629","4","22180"
"T058982","25","85937"
"P003413","11","264103"
"T092097","8","47885"
"T056062","2","7346"
"T078345","7","29539"
"T180973","5","88976"
"T022163","3","16726"
"N021580","5","22845"
"P002032","5","61655"
"N019006","4","87905"
"N020982","3","66309"
"T058982","10","87359"
"T183391","2","18807"
"T176027","2","6161"
"T108584","3","69155"
"T057452","3","16837"
"T095977","2","17903"
"T076062","5","32327"
"T001081","2","2685"
"T066624","10","42175"
"N019268","4","22817"
"T153630","2","42978"
"T180973","7","89039"
"T065243","4","29255"
"T124516","3","89851"
"T213497","13","266871"
"T115828","8","41955"
"N019488","5","5452"
"T083753","6","101925"
"N019013","4","66288"
"N050177","5","120729"
"N006811","3","120845"
"T133787","6","42427"
"T136977","29","91110"
"T181141","2","1822"
"T160877","10","86489"
"T084641","2","33139"
"T133177","3","43724"
"N008416","5","65746"
"T165224","2","7345"
"N027684","2","11180"
"T063450","6","93613"
"T029288","5","65820"
"N029780","4","117312"
"T116504","4","66275"
"T155206","5","173415"
"T105670","5","10598"
"T136487","5","65732"
"T125821","6","25332"
"T086139","3","82117"
"P002719","11","262257"
"T004761","3","38123"
"T072099","11","67988"
"T032718","2","11194"
"T155591","3","53905"
"P003017","5","181447"
"T147415","5","149825"
"T079283","5","120881"
"T110125","5","29810"
"T199376","3","29191"
"T092670","6","14663"
"T092757","2","3600"
"T161022","4","116690"
"T002859","5","52808"
"N003382","3","22342"
"T101901","7","45397"
"T097938","3","90569"
"T063191","2","44143"
"N019006","16","85844"
"T045628","3","4686"
"T001075","4","24392"
"P002287","4","69607"
"T135365","12","27534"
"T089918","6","85919"
"T153060","3","92229"
"T182182","7","21862"
"T177414","7","90531"
"T038430","3","11907"
"N011096","9","31958"
"T046579","5","65856"
"T051013","3","8881"
"N034994","3","25051"
"N029780","6","116921"
"T173761","6","94904"
"W002925","6","66213"
"T154542","7","172488"
"T140774","5","87390"
"T125039","2","20917"
"N005403","5","66579"
"N035342","9","345511"
"N006261","3","67431"
"P002719","8","266379"
"T054156","2","5377"
"T154545","5","237735"
"T089033","5","69457"
"N034246","6","66903"
"N034459","8","29315"
"N015725","3","86691"
"T060637","3","65677"
"W013562","13","96337"
"T111010","7","65572"
"T147415","4","171936"
"T118423","3","68218"
"T123963","31","42695"
"P006031","15","179832"
"T132173","2","170224"
"T074401","7","10846"
"T041511","2","44876"
"T180973","5","88250"
"N016052","5","186234"
"N010613","9","12510"
"N035279","3","16484"
"T224411","5","21512"
"T133958","3","191598"
"T088372","2","87684"
"T118926","5","30148"
"T102781","2","16492"
"T152135","2","10527"
"N014368","8","69288"
"T062612","6","67726"
"T066623","10","42659"
"T098546","12","121191"
"T185989","14","73243"
"T141134","3","86593"
"N023405","3","30344"
"T097924","5","89401"
"T085468","5","66968"
"T138955","3","73547"
"T031198","6","11233"
"T193720","7","122203"
"T046594","2","10678"
"T194420","2","22824"
"T132605","4","16549"
"W029495","3","47604"
"T131947","8","94373"
"N009341","2","16001"
"N004626","4","126304"
"T110322","2","92619"
"N009453","3","38445"
"T128583","4","21540"
"T101515","4","1051575"
"T089156","4","125305"
"T111519","4","46542"
"T069294","2","78290"
"T021817","6","65687"
"T126294","3","66393"
"T146150","9","88174"
"W036929","7","66708"
"T080193","4","123769"
"T055962","2","22338"
"T079961","2","83274"
"T077044","6","65767"
"T144147","8","174573"
"T073050","4","117905"
"T130668","3","86122"
"N010808","15","44075"
"W002460","3","116572"
"N002391","2","28912"
"T153498","23","85989"
"T081818","2","73928"
"P002572","6","170648"
"T114714","2","16739"
"T039575","2","7458"
"T039714","16","479753"
"N024207","2","95576"
"T154285","6","1144784"
"T099893","3","42047"
"T009972","4","47258"
"T131954","4","98984"
"T060974","2","72376"
"T147035","3","1054010"
"T094145","3","52235"
"N018146","3","87137"
"T119505","3","86246"
"T072519","3","25871"
"T078932","3","87558"
"T133714","5","72326"
"P002925","4","66482"
"P002572","3","119525"
"N016941","8","285051"
"T038511","6","42166"
"T109813","4","21721"
"T186889","3","85821"
"T107340","8","127191"
"T200747","17","116695"
"T145979","3","76491"
"T138428","7","262484"
"T056090","6","88626"
"T082168","8","66165"
"T040556","2","29191"
"T109334","9","43438"
"N007961","2","124116"
"T141023","6","67006"
"T088910","5","121667"
"T098191","15","117295"
"T146872","5","86459"
"N015693","4","530092"
"N011212","4","67661"
"T078977","5","102426"
"T135919","6","88925"
"T135993","3","42941"
"T075125","6","139289"
"N029529","8","128736"
"T127398","4","47652"
"T088907","2","89977"
"T119122","6","66172"
"T073491","4","109849"
"N020132","3","197852"
"T061467","5","30253"
"T121786","5","118312"
"T063309","7","66318"
"T136380","6","87174"
"T040980","3","29834"
"T145260","6","86231"
"T091573","10","117599"
"T135777","6","88426"
"T118532","3","17762"
"T135771","2","87477"
"T088889","3","42730"
"T139624","3","93189"
"T177160","9","88540"
"T150578","6","73595"
"T137892","9","71665"
"T102206","3","84919"
"T073302","3","30158"
"T061240","3","90529"
"T098245","8","129523"
"T090171","2","11921"
"T103102","2","88858"
"N028168","2","43464"
"P002572","7","266565"
"T074517","2","44849"
"T022183","3","102724"
"T121704","2","353003"
"T004499","2","22119"
"T109490","3","22058"
"N019504","5","4822"
"T130263","2","66346"
"T129173","14","43142"
"P002028","9","511753"
"T125368","4","34446"
"N004117","6","21399"
"P000142","3","170441"
"T144962","13","30645"
"T110018","2","11160"
"T144855","14","192929"
"N001859","3","91467"
"T145593","4","71384"
"T163859","4","66172"
"N061090","23","73596"
"N012562","9","65944"
"T178720","4","89021"
"T056190","2","10549"
"T147682","2","47488"
"T088895","2","23619"
"N027445","3","31265"
"T122783","2","94331"
"T097924","8","121454"
"T107760","2","466585"
"N016626","2","31466"
"T074579","3","68188"
"T069876","4","66595"
"T064290","2","21503"
"T148199","2","5186"
"T147415","3","171032"
"T180973","6","89056"
"P006696","6","42096"
"T041731","2","43032"
"T165249","3","43031"
"T153298","4","265685"
"T225323","4","11313"
"T149360","7","89309"
"N014258","3","22943"
"T087667","3","10553"
"T092494","10","42425"
"N031660","2","17864"
"N008403","2","38399"
"T075064","3","16525"
"T141134","3","133340"
"T128421","2","43644"
"T133958","6","265247"
"T153168","5","22787"
"T109657","2","29255"
"P002719","7","266401"
"T012697","13","105413"
"T042874","2","10559"
"T133960","3","286694"
"T027023","7","8139"
"N028899","4","7655"
"P002927","2","116628"
"N000660","5","65856"
"T099975","8","92987"
"T146147","10","88252"
"T221183","6","269998"
"T137422","8","91835"
"T106750","4","19104"
"T082477","16","124024"
"T060748","22","183097"
"T066624","2","42679"
"T102124","3","7773"
"T030440","11","42256"
"T117623","4","73851"
"T143333","9","137014"
"T135976","11","302136"
"T117548","4","71944"
"T108629","17","30549"
"T131524","10","66888"
"N014289","4","41981"
"W003398","2","29924"
"T116429","4","20942"
"T091600","2","17999"
"P006031","16","87899"
"N018930","7","23516"
"N008301","2","21463"
"T096597","4","22393"
"T080462","3","90829"
"T011027","16","91311"
"T097928","10","121346"
"T013501","4","69552"
"T150228","3","10588"
"T045411","6","22397"
"T177839","16","43129"
"N048331","3","65856"
"N005401","15","66341"
"W041643","4","122010"
"T173044","6","42826"
"T080526","3","108493"
"N068545","4","85721"
"T213481","8","268436"
"T106155","2","7309"
"T041510","2","44300"
"N050172","15","266281"
"T138373","5","66031"
"N045850","9","70313"
"T146564","7","119967"
"T123876","5","70855"
"T135433","2","118019"
"T170201","8","66554"
"T136487","12","73254"
"T107856","2","29274"
"T096963","4","79954"
"T178984","3","169356"
"T137642","4","70390"
"T140385","2","86118"
"T140272","3","4299"
"T129570","2","38399"
"T046580","5","65856"
