"metadata_ESTCID","Freq","TotalLength"
"P002572","3","169230"
"T090432","3","1095015"
"T138709","10","1411984"
"T060974","4","94419"
"N028296","3","1050198"
"W002471","2","125346"
"T056446","3","1049516"
"T147006","8","120655"
"T113142","3","191085"
"T131953","2","95641"
"N008929","2","207460"
"T116394","3","209607"
"T131962","3","94289"
"T122825","4","180449"
"N003684","4","21626"
"N069122","7","266949"
"T010569","2","48044"
"T119137","8","16568"
"T134850","4","67477"
"N003703","24","85865"
"T137131","7","76118"
"T117451","9","88933"
"T038577","6","42941"
"N019018","7","66235"
"N003704","23","169384"
"N005092","4","280483"
"T078581","6","121962"
"T132727","2","21626"
"T065483","2","71402"
"T188569","5","104306"
"T097929","3","121325"
"N003705","20","85938"
"T101314","4","43680"
"T054399","4","119968"
"N006260","6","42027"
"T200931","4","274356"
"N007987","4","121382"
"T030412","5","16559"
"T009547","3","10635"
"T090779","3","18615"
"T180973","4","88976"
"T088345","2","21503"
"T058982","7","87359"
"T180973","2","89039"
"T213497","5","266871"
"N050177","5","120729"
"T136977","24","91110"
"T160877","8","86489"
"T063450","5","93613"
"N029780","4","117312"
"T147415","4","149825"
"T122410","9","65976"
"N019006","18","85844"
"T136891","6","22591"
"N006261","2","67431"
"T190313","2","11069"
"N034246","4","66903"
"T180973","2","88250"
"N016052","4","186234"
"N002193","2","207709"
"W029495","2","47604"
"T021817","6","65687"
"T146150","2","88174"
"T055962","2","22338"
"P002572","5","170648"
"T154285","3","1144784"
"T099893","3","42047"
"T131949","2","86453"
"T131954","4","98984"
"T120384","3","195157"
"T039160","2","65617"
"T145979","2","76491"
"T088907","2","89977"
"T136380","3","87174"
"T135777","2","88426"
"T127786","3","207646"
"T130263","2","66346"
"T178720","2","89021"
"N027255","3","29782"
"T097924","6","121454"
"N021264","2","71155"
"T069876","9","66595"
"P002927","2","116628"
"T146147","2","88252"
"T137422","3","91835"
"T135976","16","302136"
"P006031","7","87899"
"N018930","2","23516"
"T097928","6","121346"
"N021192","3","16657"
