"metadata_ESTCID","Freq","TotalLength"
"T090432","2","1095015"
"T138709","9","1411984"
"N019842","3","21930"
"T060974","4","94419"
"T118975","2","34821"
"T090624","2","47211"
"N028296","2","1050198"
"N003564","2","50126"
"T056446","8","1049516"
"P002572","2","262827"
"T057081","3","29512"
"T025362","2","121816"
"P006021","2","117680"
"T101343","3","71550"
"T040276","3","77473"
"T111682","2","86272"
"T147006","6","120655"
"T137194","2","67143"
"T112695","2","263575"
"N016511","2","63486"
"T056255","2","86846"
"T147543","2","66086"
"T131962","5","94289"
"N002162","2","25464"
"T131597","9","68203"
"N005843","2","103897"
"T122825","4","180449"
"N008422","3","65773"
"N069122","6","266949"
"T213496","4","266082"
"T130902","2","132545"
"T093953","2","104805"
"T137131","9","76118"
"T060825","2","7744"
"T005959","3","123846"
"T146035","5","67841"
"T117451","11","88933"
"T058640","4","44183"
"T092836","3","86761"
"T149856","7","43381"
"N017235","2","66075"
"N019018","7","66235"
"T213495","4","267221"
"T129033","8","30360"
"N005092","6","280483"
"T111630","5","28213"
"T107053","3","174413"
"T101913","5","85812"
"T132727","2","21626"
"T068455","4","29894"
"N019018","6","66312"
"T119592","10","43564"
"T146819","20","124266"
"T163898","10","67799"
"T178720","2","90306"
"N003705","19","85938"
"W028972","2","17324"
"T054399","3","119968"
"T119887","7","65966"
"W030387","3","119192"
"T138192","3","66738"
"N008950","4","58668"
"T200931","3","274356"
"T147390","2","104313"
"T165089","3","22197"
"N042986","2","71542"
"T144374","5","29646"
"N050173","7","268436"
"T110944","2","17491"
"T092097","15","47885"
"T078345","5","29539"
"N020982","2","66309"
"T050966","6","11114"
"T180973","2","89039"
"T213497","5","266871"
"T083753","2","101925"
"N006811","2","120845"
"T133787","6","42427"
"T136977","11","91110"
"N028822","3","10824"
"T160877","7","86489"
"N006651","2","46023"
"N029780","4","117312"
"T136487","4","65732"
"T149360","3","86652"
"P002719","5","262257"
"T117623","6","67940"
"P003017","3","181447"
"T110125","3","29810"
"T063191","2","44143"
"N019006","16","85844"
"T121339","28","120738"
"T001075","2","24392"
"W002925","8","66213"
"T154542","2","172488"
"N006261","2","67431"
"T190313","2","11069"
"T089033","2","69457"
"N034246","6","66903"
"N015725","2","86691"
"P006031","11","179832"
"T132173","4","170224"
"T102199","6","18645"
"T066623","7","42659"
"N023405","4","30344"
"T097924","2","89401"
"T112420","5","21639"
"T131947","8","94373"
"T119957","2","150572"
"N004626","6","126304"
"N009453","2","38445"
"T101515","4","1051575"
"T135750","2","70369"
"T073050","3","117905"
"T130668","4","86122"
"T110636","20","67832"
"T153498","23","85989"
"P002572","5","170648"
"T154285","4","1144784"
"T153498","4","65903"
"T116363","3","74251"
"P002572","3","119419"
"T131949","4","86453"
"T131954","5","98984"
"T094145","3","52235"
"T078932","2","87558"
"T147252","6","172883"
"P002572","4","119525"
"N016941","13","285051"
"T145979","3","76491"
"T082168","7","66165"
"T141023","3","67006"
"N015693","2","530092"
"T135993","2","42941"
"T127398","2","47652"
"T119122","3","66172"
"N020132","4","197852"
"T061467","4","30253"
"T063309","6","66318"
"T040980","2","29834"
"T135777","2","88426"
"T090741","3","16755"
"T131649","3","70009"
"T103102","2","88858"
"P002572","3","266565"
"T074517","2","44849"
"T055020","2","25032"
"T097718","3","73138"
"N012562","8","65944"
"T147682","2","47488"
"T088895","2","23619"
"N016626","3","31466"
"T149360","7","89309"
"T141134","3","133340"
"P002719","6","266401"
"T106750","3","19104"
"T117623","4","73851"
"T135976","99","302136"
"T131524","9","66888"
"T116429","5","20942"
"N018930","2","23516"
"T080462","3","90829"
"T213481","5","268436"
"T146564","7","119967"
"T063441","4","31979"
"T096963","7","79954"
"T178984","4","169356"
"T140272","2","4299"
"T093938","2","95702"
"T119887","4","68411"
"T097929","2","120144"
"T108469","5","16464"
"N009958","6","80449"
"T067233","2","69383"
"T136487","6","65905"
"T104144","5","29563"
"T153470","6","17735"
"T054399","3","117935"
"T145981","3","94338"
"T178720","6","89234"
"T114759","5","23191"
