"metadata_ESTCID","Freq","TotalLength"
"P002572","7","169230"
"T090432","18","1095015"
"T138709","58","1411984"
"T138024","11","31666"
"T113598","6","71367"
"T124105","7","118464"
"T028054","5","17489"
"T060974","9","94419"
"T118975","3","34821"
"T114528","4","97449"
"N002197","6","209592"
"T090624","2","47211"
"T033824","3","13245"
"N028296","9","1050198"
"T105509","2","173183"
"W002471","9","125346"
"T131309","3","73546"
"N003564","2","50126"
"T026204","5","17489"
"T056446","7","1049516"
"T098739","2","329032"
"N002146","2","8761"
"P002572","2","262827"
"T089429","66","48023"
"P006021","5","117680"
"T101343","2","71550"
"N040759","2","354901"
"T121416","6","66626"
"P006675","2","68246"
"T051628","9","68005"
"T091286","6","67249"
"T022987","4","439465"
"T058745","4","70103"
"T121918","6","71041"
"T111682","5","86272"
"T163726","3","48645"
"T147006","23","120655"
"T127090","4","186136"
"T137194","6","67143"
"T112695","4","263575"
"N016511","2","63486"
"T072780","2","63213"
"T134044","2","22418"
"T056255","2","86846"
"W020728","2","46564"
"T109176","11","170726"
"T009318","2","5582"
"T113142","7","191085"
"T064311","4","93379"
"T089553","2","5754"
"T131953","9","95641"
"T110923","7","466823"
"T129850","5","171036"
"T099478","5","118613"
"N008929","4","207460"
"T131597","2","42027"
"T131959","3","70722"
"T116394","6","209607"
"T131281","12","87626"
"T131962","7","94289"
"N002162","2","25464"
"T119141","4","17169"
"T165018","11","32023"
"T103707","5","273178"
"T033425","5","59848"
"N016760","2","9124"
"T072770","4","88907"
"T132589","2","21547"
"N001896","2","25674"
"T131597","11","68203"
"T055021","2","25032"
"T096063","4","120320"
"T121016","5","17489"
"T093704","2","33129"
"T122825","9","180449"
"T061545","6","19733"
"N008422","11","65773"
"T091300","7","67246"
"T026901","2","32014"
"T055929","2","109618"
"T173044","20","30175"
"N028938","3","9596"
"T149856","11","30333"
"T146926","3","42286"
"N003684","8","21626"
"P002719","7","262257"
"T136238","32","1377131"
"N069122","7","266949"
"T213496","7","266082"
"T046583","5","65856"
"T010569","5","48044"
"T105641","2","24821"
"N019415","11","490905"
"T070113","2","270676"
"T130902","2","132545"
"T119137","17","16568"
"T227513","3","7404"
"T119887","14","66066"
"T134850","24","67477"
"T093953","16","104805"
"T109819","5","68755"
"T098546","9","122353"
"T074071","3","68828"
"N003703","30","85865"
"T122410","10","65820"
"T136311","2","16546"
"T083498","5","30990"
"T146566","4","88644"
"T137131","13","76118"
"N037345","7","138203"
"N005403","31","42920"
"T136233","34","1377050"
"T005959","6","123846"
"T146035","20","67841"
"W018694","3","7345"
"N001743","5","17020"
"T117451","12","88933"
"T046581","5","65905"
"T038577","10","42941"
"T088895","3","43877"
"T110794","2","66419"
"T138129","3","23422"
"T225015","3","1024"
"T001119","3","11628"
"T136426","11","503166"
"T022004","2","10549"
"T119670","12","42007"
"T058640","5","44183"
"T092836","2","86761"
"T149856","11","43381"
"T165877","16","1118561"
"T033348","16","21637"
"T046584","5","65856"
"T027512","2","10999"
"T136425","14","485149"
"T131033","7","82554"
"N017235","2","66075"
"T129144","3","14674"
"N019018","13","66235"
"N003704","25","169384"
"N053799","3","118688"
"T144784","6","65773"
"N018452","2","7398"
"N034908","7","483414"
"P000142","10","266352"
"T085261","22","1073417"
"T123917","4","88456"
"T213495","11","267221"
"T129033","10","30360"
"N005092","9","280483"
"T078581","6","121962"
"T111630","8","28213"
"T177414","9","88843"
"T101913","6","85812"
"N068871","9","332108"
"N005947","3","10732"
"T108652","3","17849"
"T109985","12","22006"
"T095962","7","87175"
"N053031","5","17101"
"T137068","7","71333"
"T007171","8","21577"
"N019018","25","66312"
"T155207","72","168548"
"T147014","3","31408"
"T146519","7","67509"
"T100408","41","43824"
"T136382","13","90183"
"N016687","3","48259"
"P002032","2","40789"
"T097807","2","17838"
"T118422","5","45767"
"T164627","4","42605"
"T037865","3","10704"
"P002028","9","511745"
"T000854","6","31391"
"T146819","22","124266"
"T188569","10","104306"
"T175930","11","121421"
"T084428","3","31347"
"T138763","3","269632"
"T221165","11","268545"
"T097929","8","121325"
"T144565","9","42163"
"T163898","10","67799"
"T066620","2","42679"
"T041374","3","17495"
"T135524","3","111352"
"T144565","2","42679"
"T178720","6","90306"
"T147415","6","171940"
"N003705","26","85938"
"T101314","4","43680"
"T097938","6","92006"
"T091354","2","22544"
"T035481","9","34649"
"N026286","6","16431"
"T089449","5","133948"
"P003413","13","343638"
"T125065","2","16596"
"T054399","9","119968"
"T154546","3","275789"
"N006260","12","42027"
"T113007","36","68813"
"T086999","12","30685"
"T092418","6","73724"
"T108615","3","30878"
"T057526","4","24195"
"T004007","26","65833"
"T130678","3","44442"
"T069568","35","42683"
"T119887","12","65966"
"N026163","20","42353"
"T175930","3","88822"
"T138374","8","66031"
"T117828","5","50133"
"T092832","2","30970"
"N021867","5","11099"
"W030387","7","119192"
"T117698","30","119405"
"T058982","6","129096"
"T131033","12","77768"
"N018608","3","14738"
"T138192","11","66738"
"N008950","6","58668"
"T099952","2","5469"
