"metadata_ESTCID","Freq","TotalLength"
"P002572","4","169230"
"T090432","2","1095015"
"T138709","10","1411984"
"T114528","2","97449"
"N028296","7","1050198"
"T105509","2","173183"
"W002471","3","125346"
"T056446","13","1049516"
"T098739","4","329032"
"T101343","2","71550"
"N040759","3","354901"
"T121416","3","66626"
"T051628","2","68005"
"T091286","2","67249"
"T105087","2","70201"
"T127090","3","186136"
"T112695","5","263575"
"T064311","4","93379"
"T110923","7","466823"
"T129850","7","171036"
"T099478","5","118613"
"T131597","2","42027"
"T131281","2","87626"
"N002162","2","25464"
"T103707","3","281433"
"T103707","3","273178"
"T055021","2","25032"
"T096063","3","120320"
"T122825","4","180449"
"N008422","5","65773"
"P002719","7","262257"
"T136238","9","1377131"
"T213496","4","266082"
"T105641","2","24821"
"T098546","3","122353"
"N003703","23","85865"
"N005403","21","42920"
"T136233","9","1377050"
"T111260","2","29622"
"T117451","10","88933"
"T088895","3","43877"
"T001119","2","11628"
"T058640","3","44183"
"T131033","2","82554"
"T031200","4","11232"
"N003704","21","169384"
"N053799","2","118688"
"N005092","4","280483"
"T107053","6","174413"
"T109985","3","22006"
"T099360","4","56129"
"T136382","3","90183"
"T188569","5","104306"
"T221165","4","268545"
"T144565","6","42163"
"T066620","2","42679"
"T135524","3","111352"
"T178720","3","90306"
"N003705","20","85938"
"T090148","2","177186"
"T054399","5","119968"
"T086999","2","30685"
"T069568","22","42683"
"T175930","2","88822"
"T162631","3","117431"
"T005341","2","7644"
"N050173","8","268436"
"T110944","2","17491"
"P003413","5","264103"
"T092097","7","47885"
"T180973","3","88976"
"T022163","2","16726"
"T129680","12","17267"
"T058982","7","87359"
"T066624","6","42175"
"T180973","2","89039"
"T063764","9","29356"
"N028822","3","10824"
"N029780","5","117312"
"T117623","4","67940"
"T122410","9","65976"
"N019006","17","85844"
"N029780","4","116921"
"T173761","4","94904"
"T116155","2","23038"
"T118423","3","68218"
"T123963","26","42695"
"T132173","3","170224"
"T180973","2","88250"
"T122794","2","86393"
"T066036","3","74475"
"T152135","2","10527"
"T165875","3","58737"
"T066623","7","42659"
"T098546","7","121191"
"T018922","2","27868"
"N023405","3","30344"
"T097924","2","89401"
"T138955","2","73547"
"T031198","5","11233"
"T193720","4","122203"
"T131947","9","94373"
"N040759","4","281403"
"T119957","2","150572"
"N004626","4","126304"
"N009453","2","38445"
"T101515","6","1051575"
"T089156","4","125305"
"T111519","3","46542"
"T069294","4","78290"
"T130668","2","86122"
"N010808","7","44075"
"T110636","18","67832"
"T112567","2","69528"
"N003562","3","82461"
"P002572","5","170648"
"T091299","3","89231"
"T154285","24","1144784"
"T099893","3","42047"
"N003564","2","36980"
"T081915","3","155220"
"N012773","3","121745"
"T131949","2","86453"
"T147252","2","172883"
"T080352","5","29235"
"T145979","2","76491"
"T098191","3","117295"
"N015693","2","530092"
"N011212","2","67661"
"T135993","2","42941"
"T127398","2","47652"
"T145260","4","86231"
"T150578","2","73595"
"T139580","2","116703"
"T137892","6","71665"
"T102206","3","84919"
"T121300","2","18923"
"T056798","5","94993"
"T121704","8","353003"
"T086996","4","77562"
"T055020","2","25032"
"T130263","3","66346"
"T118307","2","29840"
"T144855","4","192929"
"T178720","2","89021"
"T122783","2","94331"
"T107760","3","466585"
"T069876","9","66595"
"T190471","8","20692"
"T225323","4","11313"
"N014258","3","22943"
"T043635","2","27884"
"T153168","5","22787"
"T066624","2","42679"
"T117623","4","73851"
"T117548","3","71944"
"T131524","8","66888"
"W003398","2","29924"
"P006031","7","87899"
"T096597","2","22393"
"T213481","6","268436"
"N050172","5","266281"
"N030768","3","17502"
"T143647","2","22544"
"N003668","8","67612"
"T058982","11","117027"
"T092975","7","29360"
"T067233","2","69383"
"T138245","2","183132"
"T054399","3","117935"
"T091301","3","67268"
"T078326","4","16545"
"T108299","6","92611"
"T145679","2","29863"
"T084639","11","66329"
"T101297","6","67725"
"T093516","3","10598"
"T069569","13","66288"
"T136736","2","172693"
"N052538","5","171504"
"T137823","2","45625"
"T136382","7","129302"
