"metadata_ESTCID","Freq","TotalLength"
"P002572","8","169230"
"T090432","3","1095015"
"T138709","15","1411984"
"T138024","6","31666"
"T113598","2","71367"
"T124105","2","118464"
"T114528","9","97449"
"N002197","4","209592"
"T090624","3","47211"
"N028296","2","1050198"
"T105509","3","173183"
"W002471","5","125346"
"T131309","2","73546"
"N003564","3","50126"
"P002572","2","262827"
"T057081","3","29512"
"T025362","3","121816"
"T089429","17","48023"
"P006021","7","117680"
"T111103","2","10681"
"T121918","2","71041"
"N003088","3","13511"
"T147006","27","120655"
"T134044","2","22418"
"W020728","40","46564"
"T109176","6","170726"
"T009318","2","5582"
"T113142","4","191085"
"W020440","2","44525"
"T073254","10","10017"
"T110923","20","466823"
"N008929","3","207460"
"T008517","2","4608"
"T131597","2","42027"
"T116394","4","209607"
"T131281","10","87626"
"T186459","2","11269"
"T103707","4","281433"
"T165018","5","32023"
"T132589","2","21547"
"T131597","8","68203"
"T096063","5","120320"
"N005843","2","103897"
"T122825","17","180449"
"T061545","4","19733"
"N008422","10","65773"
"T026901","2","32014"
"T173044","3","30175"
"T149856","6","30333"
"T146926","6","42286"
"T107662","4","87313"
"N003684","4","21626"
"P002719","7","262257"
"T136238","11","1377131"
"N069122","10","266949"
"T213496","4","266082"
"T046583","5","65856"
"N019415","5","490905"
"T070113","3","270676"
"T164247","4","67020"
"T130902","4","132545"
"T119489","2","36465"
"T119137","15","16568"
"T119887","12","66066"
"T011226","2","26984"
"T134850","5","67477"
"T093953","14","104805"
"T041681","2","66074"
"T117048","3","69846"
"T109819","11","68755"
"T119670","4","42345"
"T098546","11","122353"
"T074071","7","68828"
"N003703","28","85865"
"T122410","8","65820"
"T136311","2","16546"
"T146566","11","88644"
"T137131","8","76118"
"N037345","13","138203"
"N005403","27","42920"
"T136233","11","1377050"
"N021364","2","10742"
"T060825","2","7744"
"T146035","6","67841"
"W018694","2","7345"
"N001743","4","17020"
"T117451","11","88933"
"T091602","5","42998"
"T046581","5","65905"
"T038577","7","42941"
"T110794","7","66419"
"T001119","2","11628"
"T136426","7","503166"
"T119670","12","42007"
"T058640","11","44183"
"N019579","2","4216"
"T106154","3","21660"
"T092836","2","86761"
"T149856","16","43381"
"T165877","3","1118561"
"T033348","8","21637"
"T046584","4","65856"
"T114018","3","16869"
"T027512","4","10999"
"T136425","5","485149"
"T131033","3","82554"
"N017235","3","66075"
"T105640","2","66675"
"N019018","8","66235"
"T149178","4","42464"
"T059021","5","45165"
"N003704","31","169384"
"N053799","2","118688"
"T056084","3","24104"
"N034908","15","483414"
"P000142","12","266352"
"T085261","30","1073417"
"T213495","7","267221"
"T129033","7","30360"
"N005092","12","280483"
"T111630","5","28213"
"T177414","5","88843"
"T107053","9","174413"
"T101913","6","85812"
"N068871","3","332108"
"T132727","4","21626"
"T068455","2","29894"
"T108652","7","17849"
"T089985","3","43101"
"T095962","7","87175"
"T069671","4","82689"
"T099360","11","56129"
"N053031","5","17101"
"T137068","5","71333"
"T007171","5","21577"
"N019018","9","66312"
"N019644","2","4179"
"T155207","5","168548"
"T147014","2","31408"
"N036060","5","41943"
"T146519","2","67509"
"T100408","20","43824"
"N016687","2","48259"
"P002032","2","40789"
"T086977","2","16835"
"T164627","4","42605"
"P002028","7","511745"
"T063178","10","11583"
"T000854","5","31391"
"T119592","11","43564"
"T146819","35","124266"
"T188569","7","104306"
"T175930","3","121421"
"T084428","3","31347"
"T138763","4","269632"
"T221165","8","268545"
"T097929","2","121325"
"T144565","7","42163"
"T163898","11","67799"
"T066620","3","42679"
"T041374","2","17495"
"T135524","6","111352"
"T144565","3","42679"
"N006165","2","16783"
"T178720","6","90306"
"T147415","20","171940"
"N003705","26","85938"
"T101314","4","43680"
"T097938","8","92006"
"T090148","8","177186"
"T089449","6","133948"
"P003413","14","343638"
"T091601","3","43806"
"T197937","4","7337"
"T125065","3","16596"
"T054399","16","119968"
"T154546","6","275789"
"T113007","23","68813"
"T032060","3","18759"
"T086999","2","30685"
"T092418","4","73724"
"T108615","3","30878"
"T109513","2","2690"
"T057526","6","24195"
"T004007","7","65833"
"T069568","27","42683"
"T119887","14","65966"
"N026163","25","42353"
"T175930","2","88822"
"T121658","13","91297"
"T162631","4","117431"
"T138374","9","66031"
"T117828","4","50133"
"T092832","4","30970"
"N021867","5","11099"
"W030387","21","119192"
"T117698","3","119405"
"T058982","11","129096"
"T131033","4","77768"
"T178296","5","44307"
"T138192","5","66738"
"N008950","3","58668"
"T200931","4","274356"
"N007987","4","121382"
"T074070","3","46159"
"T133708","2","44012"
"T030412","5","16559"
"T177583","13","22286"
"T146035","15","67081"
"T165089","4","22197"
"N042986","16","71542"
"T032264","2","16506"
"T074070","4","42165"
"T130758","4","66151"
"T136428","5","484926"
"T144374","5","29646"
"N050173","14","268436"
"T129027","4","29423"
"T093420","2","29286"
"T130758","6","58951"
"T110944","3","17491"
"T057936","3","29496"
"T138372","8","66055"
"T082906","6","69368"
"T002895","5","94116"
"T117629","2","22180"
"T058982","14","85937"
"P002032","4","41100"
"P003413","6","264103"
"N014664","2","24566"
"T092097","6","47885"
"T132794","3","10505"
"T078345","6","29539"
"T180973","4","88976"
"T022163","5","16726"
"N021580","3","22845"
"T144643","8","43609"
"N019006","5","87905"
"N020982","2","66309"
"T129680","19","17267"
"T058982","16","87359"
"T165786","2","1888"
"T176027","2","6161"
"T108584","2","69155"
"T095977","3","17903"
"T076062","2","32327"
"T066624","7","42175"
"N027589","4","8026"
"T153630","3","42978"
"T180973","2","89039"
"T065243","4","29255"
"T063764","12","29356"
"T213497","8","266871"
"N019488","7","5452"
"T083753","3","101925"
"N019013","5","66288"
"T003974","2","10614"
"T177669","17","43129"
"N050177","4","120729"
"N006811","5","120845"
"T133787","6","42427"
"T136977","9","91110"
"T181141","2","1822"
"N028822","10","10824"
"T160877","6","86489"
"T084641","2","33139"
"N006651","2","46023"
"N008416","7","65746"
"N027684","2","11180"
"N023377","8","22256"
"T161023","10","116675"
"T063450","3","93613"
"N029780","4","117312"
"T116504","4","66275"
"T155206","2","173415"
"N060669","4","17857"
"T136487","4","65732"
"T046602","2","16646"
"T125821","4","25332"
"P002719","14","262257"
"T004761","6","38123"
"T072099","28","67988"
"T032718","2","11194"
"T117623","11","67940"
"P003017","4","181447"
"T147415","5","149825"
"N014368","7","85721"
"T183868","3","24744"
"T199376","2","29191"
"T161022","9","116690"
"T002859","5","52808"
"T135467","2","176059"
"T101901","6","45397"
"T012177","2","10550"
"W029476","2","21038"
"T122410","13","65976"
"T095973","8","87145"
"T105454","3","30449"
"T096373","3","4144"
"N019006","21","85844"
"T121339","33","120738"
"T001075","3","24392"
"P002287","3","69607"
"N037541","17","21807"
"T100690","3","21626"
"T135365","18","27534"
"T117230","4","11461"
"T089918","11","85919"
"T153060","3","92229"
"T099957","2","9685"
"T177414","9","90531"
"N011096","3","31958"
"T046579","5","65856"
"N034994","4","25051"
"T136891","7","22591"
"T102910","3","168597"
"N029780","5","116921"
"T173761","3","94904"
"N035842","3","21762"
"W002925","13","66213"
"T154542","5","172488"
"T140774","4","87390"
"N005403","3","66579"
"N035342","5","345511"
"W002987","5","31218"
"T223549","4","10647"
"N006261","3","67431"
"P002719","7","266379"
"T011227","3","21631"
"T116155","2","23038"
"T154545","4","237735"
"T089033","2","69457"
"N034246","16","66903"
"N026458","2","10989"
"N034459","6","29315"
"N015725","2","86691"
"T060637","4","65677"
"T111010","8","65572"
"T147415","8","171936"
"T123963","30","42695"
"P006031","19","179832"
"T132173","6","170224"
"T074401","3","10846"
"T041511","3","44876"
"T180973","4","88250"
"T122794","3","86393"
"N016052","8","186234"
"N010613","5","12510"
"P006669","10","31977"
"T224411","2","21512"
"T066036","3","74475"
"T177586","3","23826"
"T102781","2","16492"
"N014368","6","69288"
"T165875","4","58737"
"T125368","6","32014"
"T062612","2","67726"
"T066623","7","42659"
"T098546","12","121191"
"T141134","4","86593"
"T018922","2","27868"
"N023405","3","30344"
"T097924","2","89401"
"T085468","11","66968"
"T112420","5","21639"
"T138955","3","73547"
"T193720","9","122203"
"T194420","7","22824"
"N002193","3","207709"
"W029495","3","47604"
"T131947","9","94373"
"N040759","4","281403"
"T119957","2","150572"
"N009341","2","16001"
"N004626","23","126304"
"T110322","4","92619"
"T128583","2","21540"
"T101515","19","1051575"
"T089156","6","125305"
"T111519","5","46542"
"T113802","8","66373"
"T021817","9","65687"
"T126294","10","66393"
"T146150","3","88174"
"W036929","7","66708"
"T080193","5","123769"
"T077044","10","65767"
"T114346","5","178478"
"T144147","6","174573"
"T073050","12","117905"
"T130668","17","86122"
"N010808","10","44075"
"W002460","3","116572"
"T110636","22","67832"
"T011452","2","77145"
"T128903","3","81266"
"T153498","31","85989"
"T117611","2","195157"
"T081818","3","73928"
"T122356","4","76680"
"T128479","2","118585"
"P002572","18","170648"
"T039714","31","479753"
"T054654","4","21788"
"T128583","2","22835"
"T091299","3","89231"
"T153498","7","65903"
"T099893","6","42047"
"N002183","4","207660"
"P002572","3","119419"
"N012773","2","121745"
"T131949","2","86453"
"T134025","2","52540"
"T147035","10","1054010"
"T094145","4","52235"
"T120384","4","195157"
"N018146","2","87137"
"T119505","9","86246"
"T051025","4","4417"
"T147252","3","172883"
"T133714","5","72326"
"P002925","4","66482"
"P002656","3","27916"
"P002572","3","119525"
"N016941","12","285051"
"T186889","4","85821"
"T107340","2","127191"
"T200747","7","116695"
"T080352","6","29235"
"T145979","14","76491"
"T138428","7","262484"
"T056090","6","88626"
"T082168","9","66165"
"T109334","6","43438"
"T119363","8","117701"
"N007961","3","124116"
"T043043","3","72585"
"T141023","7","67006"
"T088910","6","121667"
"T098191","9","117295"
"T146872","19","86459"
"N015693","11","530092"
"N011212","4","67661"
"T078977","2","102426"
"T135919","13","88925"
"T135993","4","42941"
"T075125","8","139289"
"N029529","6","128736"
"T088907","9","89977"
"T073491","7","109849"
"T111233","5","22916"
"N020132","14","197852"
"T061467","4","30253"
"T121786","2","118312"
"T072791","11","117362"
"T063309","8","66318"
"T040980","3","29834"
"T146899","11","65731"
"T071213","2","17375"
"T097133","11","65702"
"T145260","5","86231"
"T133956","6","69346"
"T036569","24","93390"
"T135777","10","88426"
"T135771","4","87477"
"T139624","3","93189"
"T177160","5","88540"
"T078277","2","6172"
"T150578","4","73595"
"T139580","5","116703"
"T137892","11","71665"
"T102206","5","84919"
"T061240","2","90529"
"T131649","4","70009"
"T033053","2","7355"
"T051472","4","48717"
"T098245","3","129523"
"T127786","4","207646"
"P002572","3","266565"
"T074517","2","44849"
"T022183","90","102724"
"T121704","2","353003"
"T109490","3","22058"
"T112978","6","31541"
"T130263","4","66346"
"T129173","16","43142"
"P002028","7","511753"
"T130681","3","117056"
"T089450","5","127736"
"T078993","6","29707"
"T125368","16","34446"
"N004231","3","7361"
"P000142","7","170441"
"T110018","3","11160"
"T118307","2","29840"
"T077714","8","12350"
"T144855","6","192929"
"N001859","4","91467"
"T095827","2","4313"
"T000853","3","16467"
"T163859","4","66172"
"N061090","11","73596"
"N012562","17","65944"
"T178720","3","89021"
"P002032","3","37357"
"N026168","2","29632"
"T147682","9","47488"
"T038910","5","22830"
"N027445","3","31265"
"N027255","3","29782"
"T097924","5","121454"
"T074466","8","53760"
"N021264","2","71155"
"T107760","3","466585"
"N016626","3","31466"
"T069876","25","66595"
"T064290","2","21503"
"T148199","3","5186"
"T147415","4","171032"
"T180973","8","89056"
"P006696","4","42096"
"T041731","4","43032"
"T178984","12","167978"
"T165249","3","43031"
"T153298","5","265685"
"N014258","5","22943"
"T087667","3","10553"
"T092494","16","42425"
"N008403","2","38399"
"T098261","3","16675"
"T043635","2","27884"
"T095581","3","21849"
"T141134","3","133340"
"T133958","6","265247"
"T118295","2","4160"
"T153168","7","22787"
"P002719","16","266401"
"T133960","2","286694"
"T178276","3","22577"
"P002927","6","116628"
"N000660","6","65856"
"T099975","5","92987"
"T146147","3","88252"
"T147315","7","66493"
"T108653","2","8526"
"T221183","3","269998"
"T137422","4","91835"
"N019798","2","10834"
"T082477","17","124024"
"T060748","16","183097"
"T066624","3","42679"
"T102124","3","7773"
"T030440","7","42256"
"N006481","6","90300"
"T117623","18","73851"
"T130837","3","66176"
"P002831","2","4818"
"T108629","12","30549"
"T041814","3","16527"
"T117267","2","44556"
"P002032","4","81697"
"T131524","9","66888"
"N014289","3","41981"
"W003398","6","29924"
"T116429","7","20942"
"T093507","4","24573"
"T091600","2","17999"
"P006031","10","87899"
"N011568","2","7510"
"N018930","7","23516"
"N008301","4","21463"
"T101260","3","76220"
"T109550","2","25296"
"T080462","7","90829"
"T097928","5","121346"
"T035536","2","43869"
"T045411","3","22397"
"T177839","18","43129"
"N048331","5","65856"
"N005401","14","66341"
"N021192","5","16657"
"W041643","4","122010"
"T173044","10","42826"
"T080526","2","108493"
"N068545","7","85721"
"T213481","12","268436"
"T041510","3","44300"
"N050172","11","266281"
"T138373","6","66031"
"N045850","8","70313"
"T146564","14","119967"
"T123876","5","70855"
"T135433","4","118019"
"T170201","6","66554"
"T063441","5","31979"
"T136487","4","73254"
"T107856","3","29274"
"T096963","7","79954"
"T178984","12","169356"
"T137642","2","70390"
"T140385","5","86118"
"T110673","3","291923"
"T129570","2","38399"
"T046580","5","65856"
"T079445","3","3116"
"T046585","5","65856"
"T093938","11","95702"
"N051934","5","267928"
"T143647","2","22544"
"T040871","6","46156"
"N003668","9","67612"
"T058982","17","117027"
"T119887","6","68411"
"T048987","3","23187"
"T213350","7","90885"
"T097929","3","120144"
"T110142","2","16513"
"T105290","3","66628"
"T082477","9","138608"
"P002032","5","56591"
"T108469","8","16464"
"T092975","7","29360"
"N046082","3","29288"
"T046578","4","65856"
"T031580","2","10713"
"T123917","9","90648"
"N009958","7","80449"
"T080528","2","139809"
"T138245","7","183132"
"T125828","4","43470"
"T144321","4","285062"
"T050818","2","29250"
"T136487","9","65905"
"N068545","3","88429"
"T138788","2","67776"
"T106147","3","70592"
"T104144","6","29563"
"T178720","5","88843"
"T145593","3","87342"
"T056737","4","7321"
"T060036","13","48788"
"T153470","8","17735"
"T054399","14","117935"
