"metadata_ESTCID","Freq","TotalLength"
"T026767","2","66621"
"N015015","2","22826"
"T000911","2","21034"
"T026766","2","66685"
"T099478","2","118613"
"N012773","2","100176"
"N026363","2","7508"
"N023009","2","4097"
"T084574","2","16523"
"T021068","2","7321"
"T010133","2","17800"
"T134084","2","2814"
"T108857","8","1064"
"P002032","2","37279"
"W028761","2","27385"
"N049987","4","5432"
"T029798","2","65857"
"T051707","2","47589"
"T155206","2","119997"
"T143983","2","16428"
"T011226","6","26984"
"T117048","2","69846"
"T074071","4","68828"
"T079317","2","4485"
"T167829","2","5680"
"T012977","2","12944"
"N012507","2","49954"
"W027642","2","46275"
"T049650","2","21449"
"N024909","2","1860"
"T128408","2","10513"
"T048512","2","7371"
"T106154","2","21660"
"T146351","2","12151"
"P005964","4","118881"
"T049618","2","21862"
"T049652","2","16444"
"W020522","2","127665"
"T034520","2","2705"
"T058071","2","16493"
"T057660","2","2649"
"T070827","2","10549"
"N034908","2","483414"
"T216533","2","334"
"T193638","2","455"
"T044893","2","16724"
"T093909","2","16545"
"T096623","2","4136"
"T078409","2","10549"
"N024722","2","4136"
"W020315","2","35313"
"T086230","2","17431"
"N068871","6","332108"
"T063266","2","49584"
"T172717","2","5675"
"T010135","2","11020"
"T007171","2","21577"
"T155207","4","168548"
"T048125","2","4136"
"T020384","2","2701"
"T145789","2","5658"
"T126886","2","4126"
"N014246","2","7365"
"N013511","2","2649"
"T120077","6","11442"
"N036064","2","10631"
"T226648","2","16955"
"T037165","2","21850"
"W006401","2","5432"
"T176611","2","4188"
"T153296","4","148478"
"T146645","2","5310"
"T006672","2","11224"
"T029704","2","20552"
"T104013","2","2659"
"W006688","2","4200"
"N034301","2","1024"
"T057526","2","24195"
"T130678","6","44442"
"T119887","2","65966"
"W021329","2","66663"
"T004142","2","4124"
"T005304","2","31974"
"T039732","2","5743"
"T074070","2","42165"
"T170916","4","65619"
"T013039","2","17935"
"T033388","2","14861"
"T071882","4","16989"
"T002069","2","30534"
"N014855","6","266550"
"N063077","2","51701"
"N009807","2","7374"
"T155206","2","171324"
"T041782","2","10572"
"T145740","6","267781"
"T133053","4","29283"
"T187853","2","1378"
"T121730","2","5595"
"T186313","2","2983"
"N021067","2","23940"
"T090784","2","5389"
"T034403","2","13884"
"N006726","8","71144"
"T132931","2","16547"
"T082375","2","61134"
"T208092","2","17352"
"W036398","2","85918"
"T122047","2","66894"
"N019659","2","5292"
"T161023","4","116675"
"T125821","2","25332"
"W028795","2","2867"
"N013728","2","1088"
"P002719","2","262257"
"N024386","2","7321"
"T155591","2","53905"
"T108579","2","21482"
"T147415","2","149825"
"T197883","2","17066"
"T190392","2","16529"
"T127105","2","7442"
"T018753","2","4735"
"T108621","2","10860"
"T102212","2","46497"
"P002509","2","118804"
"T161022","4","116690"
"T160581","2","120020"
"T053798","2","18654"
"T181892","6","16768"
"T108775","2","76544"
"T165226","2","11010"
"T087839","2","17809"
"N014233","2","10537"
"T034052","2","32063"
"T108422","2","21994"
"T090982","2","17018"
"T092109","2","172121"
"T144725","8","139213"
"P000142","2","170437"
"T089918","2","85919"
"T135949","2","29359"
"T056424","2","4160"
"N024914","2","4129"
"T050881","2","4359"
"T102910","8","168597"
"N026527","2","16234"
"T057202","2","29242"
"T087692","2","29457"
"P002719","2","266379"
"T039156","2","16816"
"T010152","2","7331"
"P003137","6","121508"
"T011227","2","21631"
"T154545","4","237735"
"T097163","2","16448"
"T079544","2","1903"
"T031251","2","16419"
"T127198","2","2707"
"T154544","2","169875"
"T184730","2","66055"
"T174334","2","5713"
"T031764","2","12237"
"T168712","4","4283"
"T137103","2","12931"
"N025265","2","4136"
"T062612","2","67726"
"T145105","2","8036"
"W014686","2","65763"
"T031248","4","8060"
"T143851","2","8373"
"T176953","4","657"
"W028929","2","23277"
"T097924","2","89401"
"N023590","2","5433"
"T110322","2","92619"
"T071888","2","43715"
"T061447","2","2877"
"T099397","2","69611"
"T031994","2","10036"
"P000142","8","170441"
"T000853","2","16467"
"N014855","2","267710"
"T092109","2","169743"
"N069088","2","7626"
"T022274","2","10712"
"N015090","2","19124"
"T147415","2","168634"
"T094301","2","2083"
"T049373","2","1820"
"T176344","4","175213"
"T071430","2","10532"
"T134255","2","39653"
"W013178","2","10806"
"T011106","2","16837"
"T102210","2","42394"
"T153298","4","265685"
"T089204","2","4208"
"T043818","6","6139"
"T027312","2","29535"
"N005626","2","31076"
"P002719","4","266401"
"N046055","2","10513"
"T047304","2","10605"
"T150332","2","2685"
"T146510","2","482863"
"T118649","2","67776"
"T222924","2","1068"
"N024323","4","38081"
"T143333","6","137014"
"T022050","2","27448"
"T108566","2","5560"
"N017440","2","12139"
"N002373","2","42353"
"T125879","2","14919"
"P006031","2","87899"
"T189048","2","5649"
"T121431","2","22021"
"T013501","6","69552"
"W003418","2","68115"
"N038872","2","5534"
"T037759","2","29457"
"T063541","2","10961"
"T051907","2","5271"
"T102345","2","8057"
"N025670","2","6622"
"T029218","2","30161"
"N021007","2","4832"
"T121114","2","21590"
"T057659","2","2649"
"T186716","2","1832"
"T110673","4","291923"
"N006856","2","16497"
"T043972","2","17834"
"T000871","2","4160"
"N020249","2","4209"
"T044888","2","44374"
"T145396","4","44955"
"T097929","2","120144"
"T111119","2","67587"
"T105290","2","66628"
"N007059","4","4281"
"T044189","4","2894"
"T069213","2","117231"
"T138788","2","67776"
"T147224","2","12314"
"T056737","2","7321"
"T187690","2","1420"
"T083393","4","7652"
"N003211","2","10622"
"T176749","2","10529"
"N005830","4","4254"
"T057633","2","8594"
"T029030","6","5748"
"N020602","4","4510"
"N003764","2","16517"
"T052250","2","4179"
"T048839","2","6803"
"N046584","2","2854"
"T048102","2","1024"
"N061371","2","2833"
"T219026","2","21486"
"N003927","6","25619"
"T100080","4","118276"
"T139535","2","168510"
"T109040","2","66074"
"T155206","2","171264"
"T069378","2","10575"
"T145496","2","178021"
"T099210","2","4250"
"T031996","4","18589"
"T075078","2","11494"
"T116339","2","10602"
"T085642","4","14906"
"N001451","2","4495"
"N007987","2","121663"
"N019710","2","5413"
"T208082","2","256"
"T097336","2","4160"
"T038932","2","12380"
"T066857","2","20528"
"T038457","2","4124"
"T103820","2","5397"
"T036513","2","87132"
"T004123","2","17434"
"W005292","2","7380"
"N012121","2","10485"
"W013768","2","23623"
"T044456","2","7345"
"W021555","4","4259"
"T118209","4","199635"
"T073023","2","5503"
"T072483","2","7951"
"T026517","2","29547"
"T154544","4","180979"
"N055282","2","21835"
"N052538","2","171504"
"N037271","2","16441"
"T006014","8","42869"
"T108695","2","5787"
"T069377","2","10513"
"T058102","2","69830"
"T051985","6","168008"
"W021979","2","44640"
"W029687","2","38536"
"T108673","2","9169"
"T130905","4","116053"
"T085334","28","170477"
"T000254","2","86511"
"T072205","2","23218"
"T108605","2","22505"
"T102844","2","5494"
"T226102","2","163"
"P002152","2","21534"
"T103145","2","17154"
"T058712","2","62246"
"T165209","2","4136"
"T155616","2","4475"
"T053567","2","10551"
"N006878","2","7345"
"T121729","2","7373"
"T038338","2","10598"
"N040408","2","7263"
"T155206","2","169199"
"T097806","2","4165"
"T189419","2","68974"
"T103495","2","10568"
"T148123","2","66957"
"T190340","4","4136"
"P003408","2","42975"
"T102187","2","89052"
"T113578","4","170493"
"N020960","4","171589"
"T224123","2","655"
"T144725","2","212531"
"T005959","2","148019"
"T075119","2","10539"
"T184035","2","2265"
"T074410","2","117746"
"N013550","2","655"
"T160039","6","1820"
"T155210","2","7323"
"T094314","2","5429"
"T109886","6","67678"
"T075276","2","5413"
"T038484","2","48498"
"T105680","2","12473"
"T004139","2","17522"
"T139549","4","86366"
"P002371","2","169267"
"T085317","4","14879"
"W028930","2","49806"
"T145788","2","5725"
"T088373","2","37200"
"N005102","2","1949"
"N013300","2","44373"
"T179893","2","4820"
"T131694","2","18054"
"T161154","2","1137"
"T109248","2","5720"
"T038387","2","18237"
"T119152","2","32202"
"T144725","2","175968"
"T143852","2","8370"
"T147415","2","86267"
"T096677","2","7909"
"T037760","2","29211"
"N010704","2","7323"
"T147412","2","67124"
"T044643","2","5984"
"T200934","2","277372"
"T108938","2","21724"
"T109722","2","69836"
"T058130","2","118482"
"T132602","2","4136"
"T075102","2","2884"
"T011014","2","8200"
"T076063","2","25332"
"N017528","2","2821"
"T153297","2","177516"
"T208371","14","263852"
"T139521","2","262882"
"T048483","2","1024"
"W003238","2","10690"
"N026715","2","10549"
"T179252","2","11021"
"T144449","4","67826"
"T140494","2","16467"
"W027474","2","87998"
"T057188","2","8699"
"N015288","2","23609"
"N011549","2","6033"
"W006332","2","1055937"
"W033253","2","65600"
"N018953","2","42353"
"N002187","4","21947"
"T096457","2","6540"
"T048434","2","122992"
"T147415","2","91019"
"T138192","2","65831"
"T021744","2","3026"
"T100500","2","11491"
"T110180","2","42372"
"T058165","2","10741"
"T109452","2","12735"
"T154545","2","213462"
"N018050","4","4179"
"T155206","2","174861"
"T213387","2","179624"
"N026441","2","16632"
"N015391","2","120572"
"T028291","2","8408"
"T048838","2","6773"
"T072092","2","4154"
"P006290","2","203300"
"T060912","2","119457"
"W038464","2","4160"
"W020600","2","135601"
"T107769","2","67764"
"N024418","2","16811"
"T034518","2","4596"
"T094538","2","16510"
"P000142","2","171929"
"T012456","2","7606"
"T131614","2","21922"
"T127195","2","7395"
"T108704","4","1308"
"T104014","2","7623"
"T083989","2","16468"
"T176098","2","766"
"T140626","2","10559"
"N005634","2","4313"
"P002031","2","363755"
"T028304","4","16448"
"T047465","2","20594"
"W028215","2","23057"
"T186387","2","10589"
"T000691","2","6873"
"T063450","2","86608"
"T083630","2","11063"
"N019716","4","2685"
"N068902","2","6449"
"T018755","2","2781"
"T037057","2","13765"
"T176391","2","8428"
"T109345","2","116742"
"T129049","2","4495"
"W006410","2","148670"
"T103497","2","16467"
"T071911","2","5468"
"T054693","2","4209"
"T033670","2","68383"
"T044920","2","1357"
"T106560","2","1070562"
"T139263","2","1054184"
"T018908","2","4106"
"T133990","2","59449"
"T165535","2","719540"
"T136148","2","371164"
"T031700","2","43890"
"T063094","2","123883"
"T101902","2","85736"
"T110491","2","67327"
"T167561","2","186227"
"T135893","2","692341"
"T130867","2","118874"
"T138966","2","265592"
"N040000","4","17949"
"T064263","2","360891"
"T072787","2","170570"
"T135018","2","94375"
"T107371","2","65930"
"T045609","2","119269"
"T121703","2","167871"
"T147219","4","39135"
"T114151","2","57380"
"T171478","2","31132"
"T006644","2","72053"
"T077031","2","127014"
"T092514","2","16617"
"T072764","2","167944"
"T066146","2","170250"
"T074348","2","53580"
"T135892","2","692180"
"N004071","2","58931"
"T147221","4","39147"
"T105262","2","65604"
"T167561","4","194340"
"T138208","2","116917"
"T040960","6","42007"
"T079257","4","168914"
"T131404","2","135392"
"T102251","2","168977"
"T120359","2","70125"
"T138208","2","85884"
"T071137","2","109189"
"T147035","2","1371843"
"T118754","2","23386"
"N054634","2","4819"
"T121147","4","173064"
"T041282","2","25569"
"W008137","2","17562"
"N039974","2","18143"
"T154544","14","264033"
"T131235","4","171588"
"T042403","2","10633"
"T088713","2","685195"
"T109345","2","85961"
"T078407","2","10563"
"T051986","6","168058"
"T149067","2","16550"
"W037305","2","7321"
"T002826","2","4616"
"N008198","2","70093"
"T031008","2","42727"
"T096263","2","14637"
"T064795","2","66404"
"N018384","2","71334"
"W020555","4","22035"
"T056085","2","6161"
"T107026","2","33260"
"T018982","4","4258"
"T045604","2","4209"
"T030771","2","5981"
"T202287","2","5536"
"T038002","4","8471"
"T136072","2","59484"
"N015624","2","4165"
"P002028","2","382446"
"T173353","8","86751"
"T053005","2","5413"
"T044803","2","26068"
"T140240","2","10549"
"N016107","2","17531"
"T064819","2","2685"
"T071220","2","19189"
"P002032","2","369657"
"T021966","4","17164"
"T058170","2","29682"
"T083643","2","1044"
"T139539","2","117276"
"N019362","2","10549"
"T192602","2","1040"
"T084579","6","29207"
"N018513","2","14230"
"T195887","2","17462"
"T153630","2","44857"
"T145581","2","2685"
"T031995","6","15306"
"P000142","6","266284"
"T069092","2","7351"
"T122194","2","16412"
"T109496","12","263686"
"T040321","2","45968"
"N036094","2","5389"
"N018955","2","42430"
"T135230","2","4616"
"T133060","10","174623"
"T039731","4","5693"
"N015245","2","5397"
"T128176","2","4179"
"T036234","4","8697"
"T121145","2","89242"
"N031150","2","7824"
"T085643","2","11590"
"T128476","2","16448"
"N044596","2","4635"
"T166653","2","466089"
"W003074","2","7469"
"T011257","2","14666"
